Category ID,Category name,Description,Description quantity column 1,Period start,Period end,How was the period selected,Collected by,Description quantity column 2
tbd,List of oil spills,List of oil spills,Mean of min and max estimates for the number of Tonnes of oil spilled,1903,present,Should be a complete list starting with the first oil spill,Wikipedia,""
tbd,List of wars,List of war (by death toll),Quantity as estimated by sources used by Wikipedia,500 BC,present,Everything that's given on Wikipedia,Wikipedia,""
tbd,List of Category 5 Pacific hurricanes,List of Category 5 Pacific hurricanes,"Time spent as a category 5 storm, in hours",1966,present,Starts with reliable geostationary satellite coverage in 1966,Wikipedia,""
tbd,List of Category 5 Atlantic hurricanes,List of Category 5 Atlantic hurricanes,"Time spent as a category 5 storm, in hours",1966,present,Starts with reliable geostationary satellite coverage in 1966,Wikipedia,""
tbd,List of invasions,"Military invasions of sovereign states, including of colonies, excluding civil wars and invasions of/by rebel groups, breakaway states, or provisional governments","","",present,"",Wikipedia,""
tbd,List of tsunamis,"List of tsunamis since 1950, worldwide",Number of runups,1950-01-01,2023-02-02,Post-WWII when global coverage and recording became more reliable,NOAA,""
tbd,List of heads of state and government who died in office,"Deaths of heads of state while in office, from all causes","",1950,present,Post-war period when the modern world order largely took form,Wikipedia,""
tbd,List of FDA Approved Drugs,List of approved NDAs and BLAs for new molecular entities with the US FDA since 1998,"",1998,present,"Website: 'Drugs@FDA includes most of the drug products approved since 1939. The majority of patient information, labels, approval letters, reviews, and other information are available for drug products approved since 1998.'",FDA,""
tbd,List of FDA Approved Psych Drugs,List of approved NDAs and BLAs for new molecular entities with the US FDA since 1998 - limited to psychotropic drugs using their suffix or USP classification,"",1998,present,"Website: 'Drugs@FDA includes most of the drug products approved since 1939. The majority of patient information, labels, approval letters, reviews, and other information are available for drug products approved since 1998.'","FDA, USP",""
tbd,List of FDA Approved Vaccines,"List of approved BLAs for vaccines with the FDA, including licenses since voluntarily revoked","",1963,present,Earliest data available in purple book data pull,FDA,""
tbd,List of deadly floods,Floods since 1960 that have killed at least 100 people,Number of deaths (midpoint if a range is given),1960,present,Estimated approximate start of reliable worldwide reporting,Wikipedia,""
tbd,List of deadly foodborne or waterborne or enteric disease outbreaks,"CDC National Outbreak Reporting System reports of foodborne and waterborne disease outbreaks and enteric (intestinal) disease outbreaks spread by contact with environmental sources, infected people or animals, and other means.",Deaths,1998,2020,"Recording for foodborne illnesses started in 1998, most recent data as of 2/21/2023 is through 2020",CDC,Illnesses
tbd,List of UN Member States,"Number of UN member states by year, proxy for number of countries by year",Number of countries,1964,present,"From 1964 onward, country formation and UN membership are consistently within a year of each other, usually the same year",UN.org,""
tbd,List of famines,List of famines since 1846,Excess mortality midpoint,1846,2016,Availability of high-quality data via OWID,Our World in Data,""
tbd,List of volcanic eruptions,"List of significant volcanic eruptions since 4360 BCE, defined as 'one that meets at least one of the following criteria: caused fatalities, caused moderate damage (approximately $1 million or more), with a Volcanic Explosivity Index (VEI) of 6 or larger, caused a tsunami, or was associated with a major earthquake'",Volcanic explosivity index (VEI),4360 BCE,present,Longest timeframe available via NCEI database,National Geophysical Data Center / World Data Service (NGDC/WDS): NCEI/WDS Global Significant Volcanic Eruptions Database. NOAA National Centers for Environmental Information. doi:10.7289/V5JW8BSH,""
tbd,Recessions - Africa Eastern and Southern,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Africa Eastern and Southern. Additional notes from World Bank: 26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Africa Western and Central,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Africa Western and Central. Additional notes from World Bank: 22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Arab World,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Arab World. Additional notes from World Bank: Arab World aggregate. Arab World is composed of members of the League of Arab States.",% Change in GDP vs. prior year (.01 = 1%),1969,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Central Europe and the Baltics,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Central Europe and the Baltics. Additional notes from World Bank: Central Europe and the Baltics aggregate.",% Change in GDP vs. prior year (.01 = 1%),1991,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - Caribbean small states,"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: Caribbean small states. Additional notes from World Bank: ",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
tbd,Recessions - East Asia & Pacific (excluding high income),"Each year labeled as recession y/n, meaning a negative year-over-year change in GDP. Region: East Asia & Pacific (excluding high income). Additional notes from World Bank: ",% Change in GDP vs. prior year (.01 = 1%),1961,2021,Data availability from World Bank,World Bank,""
