Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Intra-state (civil) wars,Spainish Liberals War of 1868,Civil war - for central control: Spain vs. Liberals,1868,1868,1600,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Cabanada War of 1832-1835,Civil war - for central control: Brazil vs. Pernambuco Cabanos,1832,1835,3500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Third Colombian War of 1860-1862,Civil war - for central control: Colombia vs. Liberals,1860,1862,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Kanto Insurrection of 1864-1865,Civil war - for central control: Japan vs. Mito Rebels,1864,1865,2300,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Venezuela's Legalist Revolution of 1892,Civil war - for central control: Venezuela vs. Legalists,1892,1892,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Romanian Peasant Revolt of 1907,Civil war - for central control: Rumania vs. Peasants,1907,1907,5000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Miguelite War of 1832-1834,"Civil war - for central control: Portugal vs. United Kingdom, Constitutionalists",1832,1834,20100,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Third Buenos Aires War of 1861-1862,Civil war - for central control: Argentina vs. Buenos Aires,1861,1862,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Spanish Royalists War of 1821-1823,Civil war - for central control: Spain vs. Royalists,1821,1823,1500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Constitutionalist Rebellion of 1865-1866,Civil war - for central control: Bolivia vs. Constitutionalists,1865,1866,1720,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,First Afghan Anti-Reform War of 1924-1925,Civil war - for central control: Afghanistan vs. Khost Rebels,1924,1925,1100,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Chilean Coup of 1973,Civil war - for central control: Chile vs. Military Rebels,1973,1973,3200,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Campos Mutiny of 1890,Civil war - for central control: Argentina vs. Campos-led Rebels,1890,1890,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Third Argentina War of 1866-1867,Civil war - for central control: Argentina vs. Monteneros,1866,1867,2500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,First French Insurrection of 1830,Civil war - for central control: France vs. Liberals,1830,1830,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,War of  Ecuadorian Generals of 1912,Civil war - for central control: Ecuador vs. Alfaristas,1912,1912,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Satsuma Rebellion of 1877,Civil war - for central control: Japan vs. Satsumas,1877,1877,13399,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Anti-Nimeiry Revolt of 1976,Civil war - for central control: Sudan vs. National Front,1976,1976,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Ecuadorian Conservative Revolt of 1896,Civil war - for central control: Ecuador vs. Conservatives,1896,1896,1500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Patuleia War of 1846-1847,"Civil war - for central control: Spain, Portugal vs. Septembrists",1846,1847,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Sixth Colombian War of 1895,Civil war - for central control: Colombia vs. War Liberals,1895,1895,1125,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Peruvian Liberal Revolution of 1853-1855,Civil war - for central control: Peru vs. Liberals,1853,1855,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Brazil Naval War of 1893-1894,Civil war - for central control: Brazil vs. Naval Royalists,1893,1894,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,First Venezuela War of 1848-1849,Civil war - for central control: Venezuela vs. Paez-led Rebels,1848,1849,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Chad - FAP War of 1977-1978,"Civil war - for central control: France, Chad vs. Libya, FAP",1977,1978,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Barquisimeto Rebellion of 1854,Civil war - for central control: Venezuela vs. Rodriguez-led Rebels,1854,1854,1100,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Zacatecas Rebellion of 1835,Civil war - for central control: Mexico vs. Zacatecas Militia,1835,1835,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Second Peru War of 1856-1858,Civil war - for central control: Peru vs. Conservatives,1856,1858,3000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Russian Civil War of 1917-1920,"Civil war - for central control: Russia vs. Finland, Japan, United Kingdom, United States of America, France, Anti-Bolsheviks",1917,1919,1029225,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Meiji Restoration of 1868-1869,Civil war - for central control: Japan vs. Tokugawa Bafuku,1868,1869,9000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,First Zhili-Fengtien War of 1922,Civil war - for central control: China vs. Zhili Faction,1922,1922,5000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Bloody Sunday War of 1905-1906,Civil war - for central control: Russia vs. Workers and Peasants,1905,1906,5300,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Venezuelan Federal War of 1859-1863,Civil war - for central control: Venezuela vs. Liberals,1859,1863,40000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Tampico Revolt of 1838-1839,Civil war - for central control: Mexico vs. Federalists,1838,1839,1700,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Ecuador's Veintemilla Revolt of 1876,Civil war - for central control: Ecuador vs. Liberals,1876,1876,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Taiping Rebellion phase 2 of 1860-1866,"Civil war - for central control: United Kingdom, China vs. Taipings",1860,1863,250025,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,First Colombian War of 1840-1842,Civil war - for central control: Colombia vs. Progressives,1840,1842,7100,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Bluefields Insurrection of 1909-1910,Civil war - for central control: Nicaragua vs. Estradistas,1909,1910,1192,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Uganda-NRA War of 1982-1986,Civil war - for central control: Uganda vs. NRA,1982,1986,45516,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Chinese Northern Expedition of 1926-1928,"Civil war - for central control: China, Japan vs. GMD and CCP",1926,1928,65000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Third Mexican War of 1910-1914,"Civil war - for central control: Mexico vs. United States, Liberals and Radicals",1910,1914,150022,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Fifth Colombian War of 1884-1885,Civil war - for central control: Colombia vs. War Liberals,1884,1885,1150,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Triangular Revolt of 1841,Civil war - for central control: Mexico vs. Military Rebels,1841,1841,1200,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,First Two Sicilies War of 1820-1821,"Civil war - for central control: Austria, Two Sicilies vs. Liberals",1820,1821,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Bolivan Perez Rebellion of 1862,Civil war - for central control: Bolivia vs. Perez-led Rebels,1862,1862,1500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Second Argentina War of 1863,Civil war - for central control: Argentina vs. Monteneros,1863,1863,2500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Ikhwan Revolt of 1929-1930,Civil war - for central control: Saudi Arabia vs. Ikhwan,1929,1930,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Central Plains War of 1929-1930,Civil war - for central control: China vs. Warlord Armies,1929,1930,100000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Brazil Federalists War of 1893-1894,Civil war - for central control: Brazil vs. Rio Grande do Sul,1893,1894,3000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Second Two Sicilies War of 1848-1849,Civil war - for central control: Two Sicilies vs. Liberals,1848,1849,0,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Chinese Civil War phase 1 of 1930-1936,Civil war - for central control: China vs. Chinese Workers,1930,1936,400000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Janissari Revolt of 1826,Civil war - for central control: Ottoman Empire vs. Janissaries,1826,1826,6360,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Viennese Revolt of 1848,Civil war - for central control: Austria vs. Vienna Liberals,1848,1848,3241,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Ecuador Liberals War of 1895,Civil war - for central control: Ecuador vs. Liberals,1895,1895,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Intra-state (civil) wars,Matanza War of 1932,Civil war - for central control: El Salvador vs. Leftists,1932,1932,2600,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
