Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Colonial wars,Liberation of Chile,Colonial - conflict with colony: Spain vs. San Martin revolutionaries,1817,1818,1700,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,First Bolivar Expedition,Colonial - conflict with colony: Spain vs. New Granada,1817,1819,3000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Mexican Independence,Colonial - conflict with colony: Spain vs. Mina Expedition,1817,1818,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,British-Kandyan,Colonial - conflict with colony: United Kingdom vs. Kandyan rebels,1817,1818,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,British-Maratha,Colonial - conflict with colony: United Kingdom vs. Marathas,1817,1818,2800,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Second Bolivar Expedition,Colonial - conflict with colony: Spain vs. New Granada,1821,1822,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Liberation of Peru,Colonial - conflict with colony: Spain vs. Latin American revolutionaries,1824,1825,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Dutch - Javanese,Colonial - conflict with colony: Netherlands vs. Javanese rebels,1825,1830,15000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,British-Bharatpuran,Colonial - conflict with colony: United Kingdom vs. Bharatpuran rebels,1825,1826,400,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Second British-Xhosa,Colonial - conflict with colony: United Kingdom vs. Xhosa,1850,1852,1400,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,British-Santal,Colonial - conflict with colony: United Kingdom vs. Santal,1855,1856,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Hodeida Seige,Colonial - conflict with colony: Ottoman Empire vs. Beni Aseer tribe,1856,1856,1700,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,French Conquest of Kabylia,Colonial - conflict with colony: France vs. Kabylia,1856,1857,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Indian Mutiny,Colonial - conflict with colony: United Kingdom vs. Indian sepoys,1857,1859,11000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Spanish-Santo Dominican,Colonial - conflict with colony: Spain vs. Santo Domingo,1863,1865,28000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,British-Maori,Colonial - conflict with colony: United Kingdom vs. New Zealand Maori,1863,1866,700,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,First Spanish-Cuban,Colonial - conflict with colony: Spain vs. Cuba,1868,1878,100000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Second Franco-Algerian,Colonial - conflict with colony: France vs. Algeria,1871,1872,2686,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Third British-Xhosa,Colonial - conflict with colony: United Kingdom vs. S. Africa Xhosa,1877,1878,200,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Gun War,Colonial - conflict with colony: United Kingdom vs. Basuto,1880,1881,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,First Boer War,Colonial - conflict with colony: United Kingdom vs. Transvaal,1880,1881,900,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,First British-Mahdi,"Colonial - conflict with colony: Egypt, United Kingdom vs. Mahdist Empire",1881,1882,30000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Second Spanish-Cuban,Colonial - conflict with colony: Spain vs. Cuba,1895,1898,59000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Japan-Taiwanese,Colonial - conflict with colony: Japan vs. Taiwanese,1895,1895,4800,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Spanish-Philippine,Colonial - conflict with colony: Spain vs. Philippines,1896,1898,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,British-Pathan,Colonial - conflict with colony: United Kingdom vs. Pathans,1897,1898,1100,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Hut Tax,Colonial - conflict with colony: United Kingdom vs. Sierra Leone rebels,1898,1898,400,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,American-Philippine,Colonial - conflict with colony: United States of America vs. Philippines,1899,1902,4500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Somali Rebellion,"Colonial - conflict with colony: United Kingdom, Ethiopia vs. ",1901,1904,400,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,South West African Revolt,Colonial - conflict with colony: Germany vs. Herero & Nama,1904,1906,1800,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Second Dutch-Achinese,Colonial - conflict with colony: Netherlands vs. Aceh,1904,1907,13000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Maji-Maji Revolt,Colonial - conflict with colony: Germany vs. Maji-Maji in Tanganyika,1905,1906,3440,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Sokoto Uprising,Colonial - conflict with colony: United Kingdom vs. Mahdist rebels,1906,1906,80,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Third British-Zulu,Colonial - conflict with colony: United Kingdom vs. Zulu,1906,1906,56,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Japan-Korean Guerrillas,Colonial - conflict with colony: Japan vs. Korea,1907,1910,136,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,French-Berber,Colonial - conflict with colony: France vs. Berbers,1912,1912,200,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,First Sino-Tibetan,Colonial - conflict with colony: China vs. Tibet,1912,1913,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Moroccan Berber,"Colonial - conflict with colony: France, Spain vs. Berbers",1913,1914,900,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Moro Rebellion,Colonial - conflict with colony: United States vs. Moro,1913,1913,50,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Caco Revolt,Colonial - conflict with colony: United States vs. Caco Rebels,1918,1920,98,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Iraqi-British,Colonial - conflict with colony: United Kingdom vs. Iraq,1920,1920,1040,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Italian-Sanusi,Colonial - conflict with colony: Italy vs. Sanusi tribe,1923,1931,5000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Rif Rebellion,"Colonial - conflict with colony: France, Spain vs. Riffs",1921,1926,60000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Moplah Rebellion,Colonial - conflict with colony: United Kingdom vs. Muslim Moplahs,1921,1922,50,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Franco-Druze,Colonial - conflict with colony: France vs. Druze,1925,1927,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Yen Bai Uprising,Colonial - conflict with colony: France vs. Vietnamese Nationalists,1930,1931,1,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Saya San's Rebellion,Colonial - conflict with colony: United Kingdom vs. Peasant Rebels,1930,1932,140,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,British-Palestinian,Colonial - conflict with colony: United Kingdom vs. Palestinians,1936,1939,126,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Indonesian,"Colonial - conflict with colony: United Kingdom, Netherlands vs. Indonesia",1945,1946,1800,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,French-Indochina,Colonial - conflict with colony: France vs. Vietminh,1946,1954,94500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Third Franco-Madagascan,Colonial - conflict with colony: France vs. Madagascar,1947,1948,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Malayan Rebellion,Colonial - conflict with colony: United Kingdom vs. Malayan Communists,1948,1957,2400,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Franco-Tunisian,Colonial - conflict with colony: France vs. Tunisia,1952,1954,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,British-Mau Mau,Colonial - conflict with colony: United Kingdom vs. Mau Mau,1952,1956,600,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Moroccan Independence,Colonial - conflict with colony: France vs. Morocco,1953,1956,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Third Franco-Algerian,Colonial - conflict with colony: France vs. Algeria,1954,1962,18000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,French-Cameroon,Colonial - conflict with colony: France vs. UPC,1957,1958,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Angolan-Portuguese,Colonial - conflict with colony: Portugal vs. Angola,1961,1974,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Mozambique-Portuguese,Colonial - conflict with colony: Portugal vs. Mozambique,1964,1975,3500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Namibian,Colonial - conflict with colony: South Africa vs. SWAPO-Namibia,1975,1988,1100,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
Colonial wars,Al Aqsa Intifada,Colonial - conflict with colony: Israel vs. Palestinians,2000,2003,900,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
