Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of Category 5 Atlantic hurricanes,Inez,"Peak winds(km/h): 270; Pressure(hPa): 927; Areas affected: Greater Antilles, Florida, Mexico; Damage: $229 million; Deaths: 756",1966-09-28,1966-09-29,24,https://en.wikipedia.org/wiki/List_of_Category_5_Atlantic_hurricanes,2023-01-28
List of Category 5 Atlantic hurricanes,Beulah,"Peak winds(km/h): 260; Pressure(hPa): 921; Areas affected: The Caribbean, Mexico, Texas; Damage: $208 million; Deaths: 59",1967-09-20,1967-09-20,18,https://en.wikipedia.org/wiki/List_of_Category_5_Atlantic_hurricanes,2023-01-28
List of Category 5 Atlantic hurricanes,Camille,"Peak winds(km/h): 280; Pressure(hPa): 900; Areas affected: Cuba, United States Gulf Coast; Damage: $1.42 billion; Deaths: 259",1969-08-16,1969-08-18,30,https://en.wikipedia.org/wiki/List_of_Category_5_Atlantic_hurricanes,2023-01-28
List of Category 5 Atlantic hurricanes,Edith,"Peak winds(km/h): 260; Pressure(hPa): 943; Areas affected: The Caribbean, Central AmericaMexico, United States Gulf Coast; Damage: $25.4 million; Deaths: 37",1971-09-09,1971-09-09,6,https://en.wikipedia.org/wiki/List_of_Category_5_Atlantic_hurricanes,2023-01-28
List of Category 5 Atlantic hurricanes,Anita,Peak winds(km/h): 280; Pressure(hPa): 926; Areas affected: Mexico; Damage: Unknown; Deaths: 11,1977-09-02,1977-09-02,12,https://en.wikipedia.org/wiki/List_of_Category_5_Atlantic_hurricanes,2023-01-28
List of Category 5 Atlantic hurricanes,David,"Peak winds(km/h): 280; Pressure(hPa): 924; Areas affected: The Caribbean, United States East coast; Damage: $1.54 billion; Deaths: 2,068",1979-08-30,1979-08-31,42,https://en.wikipedia.org/wiki/List_of_Category_5_Atlantic_hurricanes,2023-01-28
List of Category 5 Atlantic hurricanes,Allen,"Peak winds(km/h): 305; Pressure(hPa): 899; Areas affected: The Caribbean, Yucatán PeninsulaMexico, South Texas; Damage: $1.24 billion; Deaths: 269",1980-08-05,1980-08-09,72,https://en.wikipedia.org/wiki/List_of_Category_5_Atlantic_hurricanes,2023-01-28
List of Category 5 Atlantic hurricanes,Gilbert,"Peak winds(km/h): 295; Pressure(hPa): 888; Areas affected: Jamaica, Venezuela, Central AmericaHispaniola, Mexico; Damage: $7.1 billion; Deaths: 318",1988-09-13,1988-09-14,24,https://en.wikipedia.org/wiki/List_of_Category_5_Atlantic_hurricanes,2023-01-28
List of Category 5 Atlantic hurricanes,Hugo,"Peak winds(km/h): 260; Pressure(hPa): 918; Areas affected: The Caribbean, United States East Coast; Damage: $10 billion; Deaths: 107",1989-09-15,1989-09-15,6,https://en.wikipedia.org/wiki/List_of_Category_5_Atlantic_hurricanes,2023-01-28
List of Category 5 Atlantic hurricanes,Andrew,"Peak winds(km/h): 280; Pressure(hPa): 922; Areas affected: The Bahamas, Florida, United States Gulf Coast; Damage: $26.5 billion; Deaths: 65",1992-08-23,1992-08-24,16,https://en.wikipedia.org/wiki/List_of_Category_5_Atlantic_hurricanes,2023-01-28
