Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of Category 5 Pacific hurricanes,Ava,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 915,1973-06-07,1973-06-07,24,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Emilia,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 926,1994-07-19,1994-07-21,18,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Gilma,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 920,1994-07-24,1994-07-25,18,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,John,Peak one-minute sustained winds(km/h): 280; Pressure(hPa): 929,1994-08-22,1994-08-24,42,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Guillermo,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 919,1997-08-04,1997-08-05,24,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Linda,Peak one-minute sustained winds(km/h): 295; Pressure(hPa): 902,1997-09-12,1997-09-14,42,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Elida,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 921,2002-07-25,2002-07-25,6,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Hernan,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 921,2002-09-01,2002-09-01,12,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Kenna,Peak one-minute sustained winds(km/h): 270; Pressure(hPa): 913,2002-10-24,2002-10-24,18,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Ioke,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 915,2006-08-24,2006-08-26,42,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Rick,Peak one-minute sustained winds(km/h): 285; Pressure(hPa): 906,2009-10-18,2009-10-18,24,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Celia,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 921,2010-06-25,2010-06-25,12,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Marie,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 918,2014-08-24,2014-08-24,6,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Patricia,Peak one-minute sustained winds(km/h): 345; Pressure(hPa): 872,2015-10-22,2015-10-23,23,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Lane,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 926,2018-08-22,2018-08-22,12,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Walaka,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 920,2018-10-01,2018-10-02,12,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
List of Category 5 Pacific hurricanes,Willa,Peak one-minute sustained winds(km/h): 260; Pressure(hPa): 925,2018-10-22,2018-10-22,6,https://en.wikipedia.org/wiki/List_of_Category_5_Pacific_hurricanes,2023-01-28
