Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Quantity outcome 2,Reference/link to data,Accessed on
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Wisconsin - 1993,Etiology: Cryptosporidium parvum; Setting: Community/Municipality; Source: Drinking water-Community,1993-03-01,1993-03-01,50,403000,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 2011,Etiology: Listeria monocytogenes; Setting: Private home/residence; Source: Fruits-cantaloupe-cantaloupe,2011-07-01,2011-07-01,33,147,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Pennsylvania - 1976,Etiology: Legionella unknown; Setting: Hotel/Motel/Lodge/Inn; Source: Undetermined water-Unknown,1976-07-01,1976-07-01,29,182,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Food - Multistate - 1998,"Etiology: Listeria monocytogenes; Setting: Other; Source: Multiple-hot dog, unspecified-NA",1998-10-01,1998-10-01,21,101,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Vermont - 1977,Etiology: Legionella unknown; Setting: Community/Municipality; Source: Undetermined water-Unknown,1977-05-01,1977-05-01,17,69,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Vermont - 1980,Etiology: Legionella pneumophila; Setting: Community/Municipality; Source: Other/Environmental water-Unknown,1980-05-01,1980-05-01,16,85,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - California - 1977,Etiology: Legionella unknown; Setting: Hospital/Health Care; Source: Undetermined water-Unknown,1977-05-01,1977-05-01,15,49,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Illinois - 2015,Etiology: Legionella pneumophila; Setting: Long Term Care Facility; Source: Drinking water-Individual/Private,2015-07-01,2015-07-01,13,58,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Arizona - 1987,Etiology: Legionella pneumophila; Legionella pneumophila; Legionella pneumophila; Legionella pneumophila; Setting: Hospital/Health Care; Source: Drinking water-Unknown,1987-01-01,1987-01-01,12,25,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Connecticut - 1976,Etiology: Legionella pneumophila; Setting: Community/Municipality; Source: Other/Environmental water-Unknown,1976-11-01,1976-11-01,12,28,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Pennsylvania - 1979,Etiology: Legionella pneumophila; Setting: Hospital/Health Care; Source: Undetermined water-Unknown,1979-02-01,1979-02-01,12,27,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Ohio - 1989,Etiology: Legionella pneumophila; Setting: Hospital/Health Care; Source: Drinking water-Unknown,1989-07-01,1989-07-01,11,38,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - Rhode Island - 1983,Etiology: Legionella pneumophila; Setting: Hospital/Health Care; Source: Other/Environmental water-Unknown,1983-06-01,1983-06-01,10,15,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
G77,List of deadly foodborne or waterborne or enteric disease outbreaks,Water - South Dakota - 1985,Etiology: Legionella pneumophila; Setting: Hospital/Health Care; Source: Drinking water-Unknown,1985-04-01,1985-04-01,10,26,National Outbreak Reporting System (NORS) Dashboard | CDC. https://wwwn.cdc.gov/norsdashboard/. Accessed 21 February 2023.,2023-02-21
