ActiveIngredient,Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
ABACAVIR,G74,List of FDA Approved Drugs,ABACAVIR,ABACAVIR - NDA,1998-12-17,1998-12-17,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ABALOPARATIDE,G74,List of FDA Approved Drugs,ABALOPARATIDE,ABALOPARATIDE - NDA,2017-04-28,2017-04-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ABAMETAPIR,G74,List of FDA Approved Drugs,ABAMETAPIR,ABAMETAPIR - NDA,2020-07-24,2020-07-24,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ABARELIX,G74,List of FDA Approved Drugs,ABARELIX,ABARELIX - NDA,2003-11-25,2003-11-25,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ABATACEPT,G74,List of FDA Approved Drugs,ABATACEPT,ABATACEPT - BLA,2005-12-23,2005-12-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ABEMACICLIB,G74,List of FDA Approved Drugs,ABEMACICLIB,ABEMACICLIB - NDA,2017-09-28,2017-09-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ABIRATERONE,G74,List of FDA Approved Drugs,ABIRATERONE,ABIRATERONE - NDA,2011-04-28,2011-04-28,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
abobotulinumtoxinA,G74,List of FDA Approved Drugs,abobotulinumtoxinA,abobotulinumtoxinA - BLA,2009-04-29,2009-04-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ABROCITINIB,G74,List of FDA Approved Drugs,ABROCITINIB,ABROCITINIB - NDA,2022-01-14,2022-01-14,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ACALABRUTINIB,G74,List of FDA Approved Drugs,ACALABRUTINIB,ACALABRUTINIB - NDA,2017-10-31,2017-10-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ACAMPROSATE,G74,List of FDA Approved Drugs,ACAMPROSATE,ACAMPROSATE - NDA,2004-07-29,2004-07-29,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ACLIDINIUM BROMIDE,G74,List of FDA Approved Drugs,ACLIDINIUM BROMIDE,ACLIDINIUM BROMIDE - NDA,2012-07-23,2012-07-23,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ADAGRASIB,G74,List of FDA Approved Drugs,ADAGRASIB,ADAGRASIB - NDA,2022-12-12,2022-12-12,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ADALIMUMAB,G74,List of FDA Approved Drugs,ADALIMUMAB,ADALIMUMAB - BLA,2002-12-31,2002-12-31,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ADEFOVIR DIPIVOXIL,G74,List of FDA Approved Drugs,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL - NDA,2002-09-20,2002-09-20,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ADO-TRASTUZUMAB EMTANSINE,G74,List of FDA Approved Drugs,ADO-TRASTUZUMAB EMTANSINE,ADO-TRASTUZUMAB EMTANSINE - BLA,2013-02-22,2013-02-22,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
ADUCANUMAB-AVWA,G74,List of FDA Approved Drugs,ADUCANUMAB-AVWA,ADUCANUMAB-AVWA - BLA,2021-06-07,2021-06-07,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
AFAMELANOTIDE,G74,List of FDA Approved Drugs,AFAMELANOTIDE,AFAMELANOTIDE - NDA,2019-10-08,2019-10-08,,"Research, Center for Drug Evaluation and. “Drugs@FDA Data Files.” FDA, February 2023. www.fda.gov, https://www.fda.gov/drugs/drug-approvals-and-databases/drugsfda-data-files.",2023-02-11
