Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of invasions,2022 invasion of Ukraine,Invading forces: Russia; Defending forces: Ukraine,2022,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2018 invasion of Socotra,Invading forces: United Arab Emirates; Defending forces: Yemen,2018,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2017 invasion of the Gambia,Invading forces: Senegal Nigeria Ghana; Defending forces: Gambia,2017,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2016 invasion of Syria,Invading forces: Turkey; Defending forces: Rojava Islamic State Syria,2016,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2014 invasion of Gaza,Invading forces: Israel; Defending forces: Gaza Strip,2014,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2014 invasion of Ukraine,Invading forces: Russia; Defending forces: Ukraine,2014,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2011 invasion of Somalia,Invading forces: Kenya; Defending forces: Somalia,2011,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2008 invasion of Gaza,Invading forces: Israel; Defending forces: Gaza Strip,2008,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2008 invasion of Georgia,Invading forces: Russia; Defending forces: Georgia,2008,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2006 invasion of Somalia,Invading forces: Ethiopia; Defending forces: Somalia,2006,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2006 invasion of Lebanon,Invading forces: Israel; Defending forces: Lebanon,2006,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2004 invasion of Gaza,Invading forces: Israel; Defending forces: Gaza Strip,2004,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
List of invasions,2003 invasion of Iraq,Invading forces: United States United Kingdom Australia Poland; Defending forces: Iraq,2003,,,https://en.wikipedia.org/wiki/List_of_invasions,2023-01-30
