Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Major oil spills,2022 Keystone Pipeline oil spill,"Location: United States, Washington County, Kansas, Owner: TC Energy",2022-12-07,,18516.94,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,2022 Chesire oil truck rollover,"Location: United States, Cheshire, Connecticut, Owner: Libretti and Sons Fuel",2022-02-11,,62.98,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,2022 Callao oil spill,"Location: Ventanilla District, Callao, Peru, Owner: Repsol",2022-01-15,,1744.035,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,2021 New Orleans oil spill,"Location: United States, St. Bernard Parish, Louisiana, Owner: PBF Energy",2021-12-27,,944.11,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,2021 Orange County oil spill,"Location: United States, Orange County, California shoreline, Owner: Amplify Energy",2021-10-01,,424.42,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,2021 Mediterranean oil spill/Emerald[a],"Location: Israel, Lebanon, Mediterranean shoreline, Owner: Emerald Marine Ltd[9]",2021-02-11,,,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Chevron Richmond Refinery,"Location: United States, Richmond, California, Owner: Chevron Corporation",2021-02-09,,1.9,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,2020 Colonial Pipeline oil spill,"Location: United States, North Carolina, Huntersville, Owner: Colonial Pipeline",2020-08-14,,63000,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,El Palito Refinery,"Location: Venezuela, Golfo Triste, Owner: Petróleos de Venezuela",2020-08-08,,2700,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,2020 Pointe D'Esny MV Wakashio oil spill,"Location: Mauritius, Ile Aux Aigrettes and Mahébourg, Owner: Wakashio Suisan Company Limited, Kagoshima, Japan",2020-07-25,,2800,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Trans Mountain oil spill,"Location: Canada, British Columbia, Abbotsford, Owner: Trans Mountain",2020-06-14,,151.685,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Norilsk diesel fuel spill,"Location: Russia, Norilsk, Krasnoyarsk Krai, Owner: Nornickel",2020-05-29,,17500,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Tanker truck pumping out sludge from a vessel,"Location: New Zealand, Tauranga, Bay of Plenty, Owner: NA",2020-03-30,,1.7,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,T.G. Williams Well No. 1 tank battery,"Location: United States, Texas, Oakland Creek, Longview, Owner: Fortune Resources",2020-03-30,,,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
Major oil spills,Greka Energy oil facility,"Location: United States, California, Santa Maria, Owner: Greka",2020-03-30,,,https://en.wikipedia.org/wiki/List_of_oil_spills,2023-01-20
