Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on,Category ID
Recessions - Africa Eastern and Southern,1961,"Year over year change in GDP, 1961",1961-01-01,1961-12-31,0.0243247330843512,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1962,"Year over year change in GDP, 1962",1962-01-01,1962-12-31,0.0870552237893802,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1963,"Year over year change in GDP, 1963",1963-01-01,1963-12-31,0.189944681325605,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1964,"Year over year change in GDP, 1964",1964-01-01,1964-12-31,-0.0741313958452672,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1965,"Year over year change in GDP, 1965",1965-01-01,1965-12-31,0.136429965917302,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1966,"Year over year change in GDP, 1966",1966-01-01,1966-12-31,0.0861442596233253,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1967,"Year over year change in GDP, 1967",1967-01-01,1967-12-31,0.0395615773348668,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1968,"Year over year change in GDP, 1968",1968-01-01,1968-12-31,0.0897201575375853,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1969,"Year over year change in GDP, 1969",1969-01-01,1969-12-31,0.145307716142303,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1970,"Year over year change in GDP, 1970",1970-01-01,1970-12-31,0.0725409962462138,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1971,"Year over year change in GDP, 1971",1971-01-01,1971-12-31,0.102898867887822,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1972,"Year over year change in GDP, 1972",1972-01-01,1972-12-31,0.0815686378149803,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1973,"Year over year change in GDP, 1973",1973-01-01,1973-12-31,0.300588438906803,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1974,"Year over year change in GDP, 1974",1974-01-01,1974-12-31,0.236448320298742,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1975,"Year over year change in GDP, 1975",1975-01-01,1975-12-31,0.0649723394570174,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1976,"Year over year change in GDP, 1976",1976-01-01,1976-12-31,-0.00572401103089666,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1977,"Year over year change in GDP, 1977",1977-01-01,1977-12-31,0.134884527785093,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1978,"Year over year change in GDP, 1978",1978-01-01,1978-12-31,0.115351741828866,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
Recessions - Africa Eastern and Southern,1979,"Year over year change in GDP, 1979",1979-01-01,1979-12-31,0.167552610744993,"“World Bank Open Data.” World Bank Open Data, https://data.worldbank.org. Accessed 28 February 2023.",2023-02-28,G17
