Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
List of tsunamis,CHILE-SOUTHERN CHILE: 30/01/1950 00:56:32,Earthquake mag: 7; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,1950-01-30,1950-01-30,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NEW ZEALAND-N. NEW ZEALAND: 14/03/1950 18:10:41,Earthquake mag: 5.8; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,1950-03-14,1950-03-14,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PANAMA-OFF COAST: 30/04/1950 23:49:24,Earthquake mag: NA; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,1950-04-30,1950-04-30,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VENEZUELA-EL TOCUYO: 03/08/1950 22:18:22,Earthquake mag: 6.4; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,1950-08-03,1950-08-03,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDIA-INDIA-CHINA: 15/08/1950 14:09:30,Earthquake mag: 8.6; Max water height (m): 0.5; Magnitude (Iida): NADeaths: NA,1950-08-15,1950-08-15,41,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,COSTA RICA-COSTA RICA-NICARAGUA: 05/10/1950 16:09:31,Earthquake mag: 7.7; Max water height (m): 0.1; Magnitude (Iida): -3.3Deaths: NA,1950-10-05,1950-10-05,8,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,INDONESIA-BANDA SEA: 08/10/1950 03:23:09,Earthquake mag: 7.6; Max water height (m): NA; Magnitude (Iida): 1.5Deaths: 1,1950-10-08,1950-10-08,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NORWAY-MID-NORWAY: 08/10/1950 NA:NA:NA,Earthquake mag: NA; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,1950-10-08,1950-10-08,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,GUATEMALA-GUATEMALA: 23/10/1950 16:13:20,Earthquake mag: 7.5; Max water height (m): 0.2; Magnitude (Iida): -1.3Deaths: NA,1950-10-23,1950-10-23,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-SOLOMON SEA: 08/11/1950 02:18:12,Earthquake mag: 7.3; Max water height (m): 1.2; Magnitude (Iida): NADeaths: NA,1950-11-08,1950-11-08,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-VANUATU ISLANDS: 02/12/1950 19:51:49,Earthquake mag: 7.8; Max water height (m): 2.5; Magnitude (Iida): NADeaths: NA,1950-12-02,1950-12-02,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PERU-S. PERU: 10/12/1950 02:50:42,Earthquake mag: 7; Max water height (m): 0.7; Magnitude (Iida): -0.5Deaths: NA,1950-12-10,1950-12-10,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,MEXICO-S. MEXICO: 14/12/1950 14:15:49,Earthquake mag: 7.5; Max water height (m): 0.3; Magnitude (Iida): -1.5Deaths: NA,1950-12-14,1950-12-14,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,PAPUA NEW GUINEA-BISMARCK SEA: 22/02/1951 01:45:48.9,Earthquake mag: 6.1; Max water height (m): 6; Magnitude (Iida): NADeaths: NA,1951-02-22,1951-02-22,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-COLUMBIA RIVER VALLEY, WA: 23/02/1951 16:45:NA",Earthquake mag: NA; Max water height (m): 3; Magnitude (Iida): 1.6Deaths: NA,1951-02-23,1951-02-23,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NICARAGUA-COSIGUINA VOLCANO: 03/08/1951 00:23:58,Earthquake mag: 6; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,1951-08-03,1951-08-03,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,USA-HAWAII: 21/08/1951 10:57:00,Earthquake mag: 6.9; Max water height (m): 3.6; Magnitude (Iida): 1.8Deaths: NA,1951-08-21,1951-08-21,7,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,TAIWAN-TAIWAN: 22/10/1951 05:43:01,Earthquake mag: 7.3; Max water height (m): 0.3; Magnitude (Iida): NADeaths: NA,1951-10-22,1951-10-22,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,CHINA-CHINA: GANSU AND SHANXI PROVINCES: 21/12/1951 08:37:29,Earthquake mag: 6.3; Max water height (m): 2; Magnitude (Iida): NADeaths: NA,1951-12-21,1951-12-21,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,SOLOMON ISLANDS-KAVACHI: 22/12/1951 NA:NA:NA,Earthquake mag: NA; Max water height (m): NA; Magnitude (Iida): 2.6Deaths: NA,1951-12-22,1951-12-22,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,NORWAY-MID-NORWAY: 09/01/1952 08:NA:NA,Earthquake mag: NA; Max water height (m): 2; Magnitude (Iida): NADeaths: NA,1952-01-09,1952-01-09,0,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-SE. HOKKAIDO ISLAND: 04/03/1952 01:22:41,Earthquake mag: 8.1; Max water height (m): 6.54; Magnitude (Iida): 2.7Deaths: 33,1952-03-04,1952-03-04,218,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,JAPAN-SE. HOKKAIDO ISLAND: 09/03/1952 17:04:00,Earthquake mag: 7; Max water height (m): 0.3; Magnitude (Iida): -1.7Deaths: NA,1952-03-09,1952-03-09,4,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,USA-HAWAII: 17/03/1952 03:58:00,Earthquake mag: 4.5; Max water height (m): 3; Magnitude (Iida): NADeaths: NA,1952-03-17,1952-03-17,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"PHILIPPINES-E. OF MINDANO, PHILIPPINES: 19/03/1952 10:57:12",Earthquake mag: 7.8; Max water height (m): 0.33; Magnitude (Iida): NADeaths: NA,1952-03-19,1952-03-19,5,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-COLUMBIA RIVER VALLEY, WA: 10/04/1952 NA:NA:NA",Earthquake mag: NA; Max water height (m): 19.81; Magnitude (Iida): NADeaths: NA,1952-04-10,1952-04-10,1,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,"USA-LAKE HURON, MI: 06/05/1952 NA:NA:NA",Earthquake mag: NA; Max water height (m): 1.52; Magnitude (Iida): NADeaths: NA,1952-05-06,1952-05-06,3,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,COSTA RICA-COSTA RICA-PANAMA: 13/05/1952 19:32:00,Earthquake mag: 6.9; Max water height (m): 0.1; Magnitude (Iida): -3.3Deaths: NA,1952-05-13,1952-05-13,2,DOI:10.7289/V5PN93H7,2023-02-02
List of tsunamis,VANUATU-OFF EAST COAST OF VANUATU: 13/07/1952 11:58:33,Earthquake mag: 6.8; Max water height (m): NA; Magnitude (Iida): NADeaths: NA,1952-07-13,1952-07-13,2,DOI:10.7289/V5PN93H7,2023-02-02
