Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on,Comment
Conquests of Cyrus the Great,Combatants: Persian Empire vs. various statesLocation: Middle East,549 BC,530 BC,"100,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"Number given is the sum of all deaths in battle recorded by writers during this time period, does not take into account civilian deaths, the actual number may be much greater."
Greco-Persian Wars,Combatants: Greek City-States vs. Persian EmpireLocation: Greece,499 BC,449 BC,"300,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Chinese Warring States,Combatants: Seven great powers of ChinaLocation: China,c. 475 BC , 221 BC,"1,500,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"Estimated at 1,500,000 before Qin's wars of unification[1]"
Samnite Wars,Combatants: Roman Republic vs. SamnitesLocation: Italy,343 BC,290 BC,"33,500+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"Number given is the sum of all deaths in battle recorded by Roman writers during this time period, does not take into account civilian deaths, the actual number may be much greater."
Wars of Alexander the Great,Combatants: Macedonian Empire and other Greek City-States vs. Persian Empire and various other statesLocation: Middle East / North Africa / Central Asia / India,336 BC,323 BC,"142,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,"Number given is the sum of all deaths in battle during these wars recorded by Greek writers, does not take into account civilian deaths, the actual number may be much greater."
Punic Wars,Combatants: Roman Republic vs. Carthaginian EmpireLocation: Western Europe / North Africa,264 BC,146 BC,"1,250,000-1,850,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
First Punic War,Combatants: Roman Republic vs. Carthaginian EmpireLocation: Southern Europe / North Africa,264 BC,241 BC,"400,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Part of the Punic Wars
Second Punic War,Combatants: Roman Republic vs. Carthaginian EmpireLocation: Western Europe / North Africa,218 BC,201 BC,"770,000+",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,[2] - Part of the Punic Wars
Third Punic War,Combatants: Roman Republic vs. Carthaginian EmpireLocation: Tunisia,149 BC,146 BC,"150,000-250,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Part of the Punic Wars
Kalinga War,Combatants: Maurya Empire vs. State of KalingaLocation: India,262 BC,261 BC,"150,000-200,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,
Qin's Wars of Unification,"Combatants: Qin state vs. Han, Zhao, Yan, Wei, Chu, Qi StatesLocation: China",230 BC,221 BC,"700,000+[citation needed]",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Part of Warring States Period
Cimbrian War,Combatants: Roman Republic vs. Cimbri and TeutonesLocation: Western Europe,113 BC,101 BC,"410,000-650,000",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,- Part of the Germanic Wars
Roman civil wars from Social War (91-87 BC) to War of Actium,Combatants: Roman civil warsLocation: Europe/North Africa/Middle East,91 BC , 30 BC,"3,000,000+[3]",https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,2023-01-20,Fall of the Roman Republic
