Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
Sovereign Debt Defaults,Afghanistan - 1964,"HIPC countries; Afghanistan in default with Other_Official_Creditors, IMF",1964,1967,267,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Afghanistan - 1972,HIPC countries; Afghanistan in default with Other_Official_Creditors,1972,1972,37,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Afghanistan - 1976,HIPC countries; Afghanistan in default with Other_Official_Creditors,1976,1976,437,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Afghanistan - 1980,HIPC countries; Afghanistan in default with Other_Official_Creditors,1980,1986,15,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Afghanistan - 1989,HIPC countries; Afghanistan in default with IDA,1989,1989,0.372,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Afghanistan - 1992,"HIPC countries; Afghanistan in default with IDA, Other_Official_Creditors, IMF, Paris_Club, Private_Creditors",1992,2021,11394.04802,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Albania - 1991,"Other developing countries; Albania in default with Private_Creditors, FC_Bank_Loans, Other_Official_Creditors, Paris_Club",1991,2009,745.262,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Albania - 2013,Other developing countries; Albania in default with Other_Official_Creditors,2013,2013,1.232,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Albania - 2017,Other developing countries; Albania in default with Other_Official_Creditors,2017,2017,0.6,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Albania - 2019,Other developing countries; Albania in default with Other_Official_Creditors,2019,2019,0.0548619,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Algeria - 1976,"Other developing countries; Algeria in default with Other_Official_Creditors, Private_Creditors",1976,1983,13.012,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Algeria - 1987,Other developing countries; Algeria in default with Private_Creditors,1987,1988,0.016,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Algeria - 1990,"Other developing countries; Algeria in default with Other_Official_Creditors, Private_Creditors, FC_Bank_Loans, Paris_Club",1990,1998,12108.181,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Algeria - 2002,Other developing countries; Algeria in default with Other_Official_Creditors,2002,2005,4700,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Algeria - 2012,Other developing countries; Algeria in default with Other_Official_Creditors,2012,2012,76.7,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Algeria - 2018,Other developing countries; Algeria in default with Other_Official_Creditors,2018,2018,0.1712819,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Angola - 1989,"Other developing countries; Angola in default with Paris_Club, Other_Official_Creditors, Private_Creditors, LC_Debt, China",1989,2021,7330.006,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Antigua and Barbuda - 1985,Other developing countries; Antigua and Barbuda in default with Other_Official_Creditors,1985,1986,32,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Antigua and Barbuda - 1996,"Other developing countries; Antigua and Barbuda in default with FC_Bank_Loans, Other_Official_Creditors, FC_Bonds, Paris_Club",1996,2021,838,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Argentina - 1961,"Emerging/frontier markets; Argentina in default with IMF, Other_Official_Creditors, FC_Bank_Loans, Paris_Club",1961,1963,462,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Argentina - 1965,"Emerging/frontier markets; Argentina in default with IMF, Paris_Club, Other_Official_Creditors",1965,1965,472,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
Sovereign Debt Defaults,Argentina - 1976,Emerging/frontier markets; Argentina in default with FC_Bank_Loans,1976,1976,970,https://www.bankofcanada.ca/2022/08/staff-analytical-note-2022-11/,2023-03-30
