COUNTRY,COUNTRY_GROUP,YEAR,TOTAL_2022,IMF_2022,IBRD_2022,IDA_2022,PARIS_CLUB_2022,CHINA_2022,OTHER_OFFICIAL_CREDITORS_2022,PRIVATE_CREDITORS_2022,FC_BANK_LOANS_2022,FC_BONDS_2022,LC_2022,FISCAL_ARREARS_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1960,1939.272522,173,0,0,0,,79.8,225,1,1349.472522,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1961,3366.897022,53,0,0,300,,610.2,306.81,363.5,1407.387022,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1962,2249.199022,54,0,0,270,,150.3,248.81,15,1387.089022,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1963,2108.721022,25.3,0,0,0,,163.8,413.81,50,1325.811022,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1964,3417.533022,211,0,0,270,,678.8,272.81,106,1356.923022,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1965,4368.513292,188.6,0,0,297,,1690.9,341.81,130.9,1572.303292,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1966,2887.043347,114.65,0,0,480,,997.6,0,24,1270.793347,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1967,1851.00245,40.15,30,0,110,,126.3,0,27,1227.55245,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1968,2282.796969,16.8,1,0,484,,743.1,75,104,858.8969685,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1969,2094.690487,3.5,0,0,859,,333,1,19,879.1904867,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1970,5300.800035,0,0,0,2112,,1488.38106,133.7596085,636.7,817.9593659,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1971,1199.957336,0,0,0,0,,197.4555484,144.7568483,0,857.7449396,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1972,2325.540064,0,0,0,499,,628.6341481,192.8158099,160,845.0901064,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1973,2112.045556,0,0,0,239,,691.4003211,292.4319897,30,859.2132457,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1974,3101.92581,0,0,0,1304,,685.5987813,234.0596593,0,878.2673693,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1975,3302.790227,15,0,0,230,,1444.330446,311.3520648,0,842.1077158,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1976,4563.831144,16,0.3,0,280,,2060.474233,360.2183648,1357,333.8385466,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1977,10394.38765,16,0,0,260,,9023.553547,789.498108,0,303.3359972,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1978,10451.8029,85.49092079,0,0,3005,,2685.722438,1393.826941,2481,330.762597,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1979,14853.90582,175.2660163,0,0,3183,,3496.090564,1470.755426,5101,369.793813,1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1980,12095.63358,248.4528331,0,0,3700,,4057.09665,1298.243276,2088,374.8408196,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1981,16748.77845,75.36029559,0,1,3664,,5786.382492,1500.925596,4906.677,775.9307,38.50236967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1982,51402.47776,115.1414065,0,1,964,,7728.312182,2913.957517,36070.50013,663.52068,2946.045845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1983,110999.2201,79.12874047,0,1,9771,,8854.716394,3170.311406,84034.22225,618.68545,4470.155828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1984,117771.1393,996.9066154,0,2,4005,,11757.15733,5475.58369,83966.77879,660.88179,10906.83112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1985,166435.8734,3521.13068,24,0,17251,,17231.74878,6755.039177,120229.714,662.02948,761.2113094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1986,247284.8105,5922.975499,48,0,22955,,29039.27095,8392.12213,148729.0012,302.22942,31896.21131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1987,362418.638,5978.310339,250,0,34513.2,,25728.62328,11952.93928,223151.158,5499.19577,55345.21131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1988,300432.9401,6395.056678,697,12,18544,,37258.86644,12596.97313,218797.4439,5792.6,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1989,357003.8026,6531.811759,624,8.372,27100,,68800.24648,17760.33288,230760.0395,2219.8,3199.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1990,450807.8743,6534.879944,1751,29,25164.8,,60119.95946,27038.58757,264115.6474,483,65571,15963.96628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1991,325025.7083,6692.864667,1775,18,75066.8,,53830.10614,29657.85886,147940.4243,578.654321,9466,1145.054766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1992,266928.2049,7343.290537,1995.65,24,29060.2,,54190.11796,21084.24721,150750.3079,2230.391304,250,2276.983416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,World,1993,317064.8627,7704.08442,1281,39,29111.16,,67179.64885,25711.7335,177428.3163,1636.91954,6973,2467.637804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
