dat,type,group
Afghanistan,Country,1
19-11-1946,Date,1
Albania,Country,2
14-12-1955,Date,2
Algeria,Country,3
8/10/1962,Date,3
Andorra,Country,4
28-07-1993,Date,4
Angola,Country,5
1/12/1976,Date,5
Antigua and Barbuda,Country,6
11/11/1981,Date,6
Argentina,Country,7
24-10-1945,Date,7
Armenia,Country,8
2/3/1992,Date,8
Australia,Country,9
1/11/1945,Date,9
Austria,Country,10
14-12-1955,Date,10
Azerbaijan,Country,11
2/3/1992,Date,11
Bahamas,Country,12
18-09-1973,Date,12
Bahrain,Country,13
21-09-1971,Date,13
Bangladesh,Country,14
17-09-1974,Date,14
Barbados,Country,15
9/12/1966,Date,15
Belarus,Country,16
24-10-1945,Date,16
Belgium,Country,17
27-12-1945,Date,17
Belize,Country,18
25-09-1981,Date,18
Benin,Country,19
20-09-1960,Date,19
Bhutan,Country,20
21-09-1971,Date,20
Bolivia (Plurinational State of),Country,21
14-11-1945,Date,21
Bosnia and Herzegovina,Country,22
22-05-1992,Date,22
Botswana,Country,23
17-10-1966,Date,23
Brazil,Country,24
24-10-1945,Date,24
Brunei Darussalam,Country,25
21-09-1984,Date,25
Bulgaria,Country,26
14-12-1955,Date,26
Burkina Faso,Country,27
20-09-1960,Date,27
Burundi,Country,28
18-09-1962,Date,28
Cabo Verde,Country,29
16-09-1975,Date,29
Cambodia,Country,30
14-12-1955,Date,30
Cameroon,Country,31
20-09-1960,Date,31
Canada,Country,32
9/11/1945,Date,32
Central African Republic,Country,33
20-09-1960,Date,33
Chad,Country,34
20-09-1960,Date,34
Chile,Country,35
24-10-1945,Date,35
China,Country,36
24-10-1945,Date,36
Colombia,Country,37
5/11/1945,Date,37
Comoros,Country,38
12/11/1975,Date,38
Congo,Country,39
20-09-1960,Date,39
Costa Rica,Country,40
2/11/1945,Date,40
Côte D'Ivoire,Country,41
20-09-1960,Date,41
Croatia,Country,42
22-05-1992,Date,42
Cuba,Country,43
24-10-1945,Date,43
Cyprus,Country,44
20-09-1960,Date,44
Czechia,Country,45
19-01-1993,Date,45
Democratic People's Republic of Korea,Country,46
17-09-1991,Date,46
Democratic Republic of the Congo,Country,47
20-09-1960,Date,47
Denmark,Country,48
24-10-1945,Date,48
Djibouti,Country,49
20-09-1977,Date,49
Dominica,Country,50
18-12-1978,Date,50
Dominican Republic,Country,51
24-10-1945,Date,51
Ecuador,Country,52
21-12-1945,Date,52
Egypt,Country,53
