Category ID,Category,Event,Event description,Country,
G15,Structural failures and collapses,Duplessis bridge collapse,"Bridge - Quebec, Canada",Canada,
G15,Structural failures and collapses,Tangiwai Bridge,"Bridge - Tangiwai, New Zealand",New Zealand,
G15,Structural failures and collapses,Rail bridge near St Johns railway station,"Bridge - Lewisham, London, UK",UK,
G15,Structural failures and collapses,Second Narrows Bridge,"Bridge - Vancouver, British Columbia, Canada",Canada,
G15,Structural failures and collapses,LORAN-C transmitter Carolina Beach,"Radio tower - Carolina Beach, North Carolina, US",US,
G15,Structural failures and collapses,Collapse of the Ochsenkopf Transmitter,"Guyed mast - Ochsenkopf, Germany",Germany,
G15,Structural failures and collapses,Vega de Tera,"Dam - Ribadelago, Spain",Spain,
G15,Structural failures and collapses,Malpasset,"Dam - Côte d'Azur, France",France,
G15,Structural failures and collapses,KOBR-TV Tower,"Guyed mast - Caprock, New Mexico, US",US,
G15,Structural failures and collapses,LORAN-C transmitter Ejde,"Radio tower - Ejde, Faroe Islands, Denmark",Denmark,
G15,Structural failures and collapses,King Street Bridge,"Bridge - Melbourne, Victoria, Australia",Australia,
G15,Structural failures and collapses,Beaver Dam Bridge,"Bridge - Murdochville, Quebec, Canada",Canada,
G15,Structural failures and collapses,Vajont Dam,"Dam - Friuli Venezia Giulia, Italy",Italy,
G15,Structural failures and collapses,Baldwin Hills Reservoir,"Dam - Los Angeles, California, US",US,
G15,Structural failures and collapses,General Rafael Urdaneta Bridge,"Bridge - Maracaibo, Venezuela",Venezuela,
G15,Structural failures and collapses,Mast of Iwo Jima LORAN-C transmitter,"Radio tower - Iwo Jima, Ogasawara Subprefecture, Japan",Japan,
G15,Structural failures and collapses,Heron Road Bridge,"Bridge - Ottawa, Ontario, Canada",Canada,
G15,Structural failures and collapses,Queen Juliana Bridge,"Bridge - Willemstad, Curaçao",Curacao,
G15,Structural failures and collapses,Waltham transmitting station,"Guyed mast - Waltham, UK",UK,
G15,Structural failures and collapses,Silver Bridge,"Bridge - Point Pleasant, West Virginia, US",US,
G15,Structural failures and collapses,Ronan Point collapse,"High rise - London, UK",UK,
G15,Structural failures and collapses,KELO TV Tower,"Guyed mast - Rowena, South Dakota, US",US,
G15,Structural failures and collapses,FM-/TV-Mast of Marnach transmitter,"Guyed mast - Marnach, Luxembourg",Luxembourg,
G15,Structural failures and collapses,Emley Moor TV mast collapse,"Guyed mast - Emley, West Yorkshire, UK",UK,
G15,Structural failures and collapses,Orlunda radio transmitter central mast collapse,"Guyed mast - Orlunda, Sweden",Sweden,
G15,Structural failures and collapses,West Gate Bridge,"Bridge - Melbourne, Australia",Australia,
G15,Structural failures and collapses,Britannia Bridge,"Bridge - Menai Strait, Wales, UK",UK,
G15,Structural failures and collapses,Cleddau Bridge,"Bridge - Pembroke Dock and Neyland, Wales, UK",UK,
G15,Structural failures and collapses,Wau Apartment collapse [ko],"Residential building - Seoul, South Korea",South Korea,
G15,Structural failures and collapses,2000 Commonwealth Avenue collapse,"Condominium building under construction - Boston, Massachusetts, US",US,
G15,Structural failures and collapses,South Bridge [de],"Bridge under construction - Koblenz, Rhineland-Palatinate, West Germany",West Germany,Germany
G15,Structural failures and collapses,1971 Certej dam failure,"Dam - Certeju de Sus, Hunedoara County, Romania",Romania,
G15,Structural failures and collapses,Buffalo Creek Flood,"Dam - West Virginia, US",US,
G15,Structural failures and collapses,Königs Wusterhausen Central Tower,"Lattice tower - Königs Wusterhausen, Germany",Germany,
G15,Structural failures and collapses,Skyline Towers collapse,"Building under construction - Bailey's Crossroads, Virginia, US",US,
G15,Structural failures and collapses,"Broadway Central Hotel, Mercer Arts Center","Hotel and theaters - New York, NY, US",US,
G15,Structural failures and collapses,Zeulenroda Artificial Lake bridge,"Bridge (under construction) - Zeulenroda, Germany (GDR)",East Germany,Germany
G15,Structural failures and collapses,Makahali River bridge,"Bridge - Baitadi, Nepal",Nepal,
G15,Structural failures and collapses,Miami DEA building collapse,"4-story office building - Miami, US",US,
G15,Structural failures and collapses,Tasman Bridge disaster,"Bridge - Hobart, Tasmania, Australia",Australia,
G15,Structural failures and collapses,Banqiao and Shimantan Dams,"Dam - Zhumadian, Henan, China",China,
G15,Structural failures and collapses,Teton Dam,"Mud dam - Idaho, US",US,
G15,Structural failures and collapses,Sendeanlage Burg SL-3,"Guyed mast - Burg bei Magdeburg, Saxony-Anhalt, West Germany",West Germany,Germany
G15,Structural failures and collapses,Reichsbrücke,"Bridge - Vienna, Austria",Austria,
G15,Structural failures and collapses,Pic de Nore transmitter,"Guyed mast - Pic de Nore, France",France,
G15,Structural failures and collapses,KSLA-TV Tower,"Guyed mast - Mooringsport, Louisiana, US",US,
G15,Structural failures and collapses,Kelly Barnes Dam,"Dam - Georgia, US",US,
G15,Structural failures and collapses,Granville rail disaster,"Bridge - Granville, NSW, Australia",Australia,
G15,Structural failures and collapses,Hartford Civic Center,"Arena - Hartford, Connecticut, US",US,
G15,Structural failures and collapses,Sender Zehlendorf,"Guyed mast - Zehlendorf bei Oranienburg, Germany",Germany,
G15,Structural failures and collapses,Willow Island Cooling Tower,"Cooling tower under construction - Willow Island, West Virginia, US",US,
G15,Structural failures and collapses,Connor Hotel,"Hotel slated for demolition - Joplin, Missouri, US",US,
G15,Structural failures and collapses,Kemper Arena,"Stadium - Kansas City, Missouri, US",US,
