Category ID,Category,Event,Event description,Country,,,,,,,,,,
G66,List of famines,Ireland: 1846-1852,Ireland: 1846-1852,Ireland,,,,,,,,,,
G66,List of famines,India: 1860-1861,India: 1860-1861,India,,,,,,,,,,
G66,List of famines,Cape Verde: 1863-1867,Cape Verde: 1863-1867,Cape Verde,,,,,,,,,,
G66,List of famines,India: 1866-1867,India: 1866-1867,India,,,,,,,,,,
G66,List of famines,Finland: 1868-1868,Finland: 1868-1868,Finland,,,,,,,,,,
G66,List of famines,India: 1868-1870,India: 1868-1870,India,,,,,,,,,,
G66,List of famines,Persia (now Iran): 1870-1871,Persia (now Iran): 1870-1871,Persia,Iran,,,,,,,,,
G66,List of famines,Brazil: 1876-1879,Brazil: 1876-1879,Brazil,,,,,,,,,,
G66,List of famines,India: 1876-1879,India: 1876-1879,India,,,,,,,,,,
G66,List of famines,China: 1877-1879,China: 1877-1879,China,,,,,,,,,,
G66,List of famines,USA (St. Lawreence Island Alaska): 1878-1880,USA (St. Lawreence Island Alaska): 1878-1880,USA,,,,,,,,,,
G66,List of famines,Congo: 1885-1899,Congo: 1885-1899,Democratic Republic of Congo,,,,,,,,,,
G66,List of famines,Sudan: 1888-1892,Sudan: 1888-1892,Sudan,,,,,,,,,,
G66,List of famines,India: 1888-1889,India: 1888-1889,India,,,,,,,,,,
G66,List of famines,Ethiopia: 1888-1892,Ethiopia: 1888-1892,Ethiopia,,,,,,,,,,
G66,List of famines,Russia: 1891-1892,Russia: 1891-1892,Russia,,,,,,,,,,
G66,List of famines,India: 1896-1897,India: 1896-1897,India,,,,,,,,,,
G66,List of famines,Brazil: 1896-1900,Brazil: 1896-1900,Brazil,,,,,,,,,,
G66,List of famines,China: 1897-1901,China: 1897-1901,China,,,,,,,,,,
G66,List of famines,India: 1899-1901,India: 1899-1901,India,,,,,,,,,,
G66,List of famines,S Africa: 1899-1902,S Africa: 1899-1902,South Africa,,,,,,,,,,
G66,List of famines,Cape Verde: 1900-1903,Cape Verde: 1900-1903,Cape Verde,,,,,,,,,,
G66,List of famines,Nigeria (Hausaland): 1903-1906,Nigeria (Hausaland): 1903-1906,Hausaland,Nigeria,,,,,,,,,
G66,List of famines,Namibia: 1904-1907,Namibia: 1904-1907,Namibia,,,,,,,,,,
G66,List of famines,Tanzania (south): 1906-1907,Tanzania (south): 1906-1907,Tanzania,,,,,,,,,,
G66,List of famines,India: 1907-1908,India: 1907-1908,India,,,,,,,,,,
G66,List of famines,Niger: 1910-1910,Niger: 1910-1910,Niger,,,,,,,,,,
G66,List of famines,West Africa (Sahel): 1913-1914,West Africa (Sahel): 1913-1914,Senegal,Mauritania,Mali,Burkina Faso,Niger,Nigeria,,,,,
G66,List of famines,Greater Syria (including Lebanon): 1915-1918,Greater Syria (including Lebanon): 1915-1918,Syria,Lebanon,,,,,,,,,
G66,List of famines,Turkey (Armenians): 1915-1916,Turkey (Armenians): 1915-1916,Ottoman,Armenia,,,,,,,,,
G66,List of famines,Germany: 1917-1918,Germany: 1917-1918,Germany,,,,,,,,,,
G66,List of famines,Persia (now Iran): 1917-1919,Persia (now Iran): 1917-1919,Persia,Iran,,,,,,,,,
G66,List of famines,East Africa: 1917-1919,East Africa: 1917-1919,East Africa,Tanzania,Zambia,Mozambique,Rwanda,Burundi,Kenya,Uganda,Democratic Republic of the Congo,,
G66,List of famines,Armenia: 1919-1919,Armenia: 1919-1919,Armenia,,,,,,,,,,
G66,List of famines,Cape Verde: 1920-1922,Cape Verde: 1920-1922,Cape Verde,,,,,,,,,,
G66,List of famines,"China (Gansu, Shaanxi): 1920-1921","China (Gansu, Shaanxi): 1920-1921",China,,,,,,,,,,
G66,List of famines,USSR: 1921-1922,USSR: 1921-1922,USSR,,,,,,,,,,
G66,List of famines,China (northwest): 1927-1927,China (northwest): 1927-1927,China,,,,,,,,,,
G66,List of famines,China (Hunan): 1929-1929,China (Hunan): 1929-1929,China,,,,,,,,,,
G66,List of famines,Libya: 1930-1931,Libya: 1930-1931,Libya,,,,,,,,,,
G66,List of famines,USSR (Ukraine): 1932-1934,USSR (Ukraine): 1932-1934,USSR,Ukraine,,,,,,,,,
G66,List of famines,"USSR (Russia, Kazakhstan): 1932-1934","USSR (Russia, Kazakhstan): 1932-1934",USSR,Russia,Kazakhstan,,,,,,,,
G66,List of famines,China (Sichuan): 1934-1937,China (Sichuan): 1934-1937,China,,,,,,,,,,
G66,List of famines,Cape Verde: 1940-1943,Cape Verde: 1940-1943,Cape Verde,,,,,,,,,,
G66,List of famines,Europe/USSR (collection of WWII-related events): 1941-1950,Europe/USSR (collection of WWII-related events): 1941-1950,USSR,Germany,Poland,Greece,Moldova,Belarus,Estonia,Latvia,Lithuania,Ukraine,Russia
G66,List of famines,East/Southeast Asia (collection of WWII-related events): 1941-1945,East/Southeast Asia (collection of WWII-related events): 1941-1945,Japan,Indonesia,India,Rwanda,Vietnam,,,,,,
G66,List of famines,China (Henan): 1943-1943,China (Henan): 1943-1943,China,,,,,,,,,,
G66,List of famines,India (Bengal): 1943-1943,India (Bengal): 1943-1943,India,,,,,,,,,,
G66,List of famines,Rwanda: 1943-1944,Rwanda: 1943-1944,Rwanda,,,,,,,,,,
G66,List of famines,Netherlands: 1944-1944,Netherlands: 1944-1944,Netherlands,,,,,,,,,,
G66,List of famines,Cape Verde: 1946-1948,Cape Verde: 1946-1948,Cape Verde,,,,,,,,,,
G66,List of famines,USSR (Ukraine and Belorussia): 1946-1947,USSR (Ukraine and Belorussia): 1946-1947,USSR,Ukraine,Belarus,,,,,,,,
G66,List of famines,Ethiopia (Tigray): 1957-1958,Ethiopia (Tigray): 1957-1958,Ethiopia,,,,,,,,,,
G66,List of famines,China: 1959-1961,China: 1959-1961,China,,,,,,,,,,
G66,List of famines,Ethiopia (Wallo): 1966-1966,Ethiopia (Wallo): 1966-1966,Ethiopia,,,,,,,,,,
G66,List of famines,Indonesia: 1962-1968,Indonesia: 1962-1968,Indonesia,,,,,,,,,,
G66,List of famines,Nigeria (Biafra): 1968-1970,Nigeria (Biafra): 1968-1970,Nigeria,,,,,,,,,,
G66,List of famines,West Africa (Sahel): 1969-1974,West Africa (Sahel): 1969-1974,Senegal,Mauritania,Mali,Burkina Faso,Niger,Nigeria,,,,,
G66,List of famines,India (Maharashtra): 1972-1973,India (Maharashtra): 1972-1973,India,,,,,,,,,,
G66,List of famines,Ethiopia (Wallo & Tigray): 1972-1975,Ethiopia (Wallo & Tigray): 1972-1975,Ethiopia,,,,,,,,,,
G66,List of famines,Somalia: 1974-1975,Somalia: 1974-1975,Somalia,,,,,,,,,,
G66,List of famines,Bangladesh: 1974-1974,Bangladesh: 1974-1974,Bangladesh,,,,,,,,,,
G66,List of famines,Cambodia: 1979-1979,Cambodia: 1979-1979,Cambodia,,,,,,,,,,
G66,List of famines,Chad: 1980-1980,Chad: 1980-1980,Chad,,,,,,,,,,
G66,List of famines,Uganda: 1980-1981,Uganda: 1980-1981,Uganda,,,,,,,,,,
G66,List of famines,Mozambique: 1982-1985,Mozambique: 1982-1985,Mozambique,,,,,,,,,,
G66,List of famines,Ethiopia: 1983-1985,Ethiopia: 1983-1985,Ethiopia,,,,,,,,,,
G66,List of famines,"Sudan (Darfur, Kordofan): 1984-1985","Sudan (Darfur, Kordofan): 1984-1985",Sudan,,,,,,,,,,
G66,List of famines,Sudan (south): 1988-1988,Sudan (south): 1988-1988,Sudan,South Sudan,,,,,,,,,
G66,List of famines,Somalia: 1991-1993,Somalia: 1991-1993,Somalia,,,,,,,,,,
G66,List of famines,North Korea: 1995-1999,North Korea: 1995-1999,North Korea,,,,,,,,,,
G66,List of famines,Sudan (Baht el Ghazal): 1998-1998,Sudan (Baht el Ghazal): 1998-1998,South Sudan,,,,,,,,,,
G66,List of famines,Democratic Republic of Congo: 1998-2007,Democratic Republic of Congo: 1998-2007,Democratic Republic of Congo,,,,,,,,,,
G66,List of famines,Malawi: 2002-2002,Malawi: 2002-2002,Malawi,,,,,,,,,,
G66,List of famines,Sudan (Darfur): 2003-2005,Sudan (Darfur): 2003-2005,Sudan,,,,,,,,,,
G66,List of famines,Uganda: 2003-2006,Uganda: 2003-2006,Uganda,,,,,,,,,,
G66,List of famines,Somalia: 2011-2011,Somalia: 2011-2011,Somalia,,,,,,,,,,
