Category ID,Category,Event,Event description,Country,,,,,,,,,,
G76,List of deadly floods,1975 Banqiao Dam failure and floods,"Year: 1975; Location: China; Deaths: 229,000",China,,,,,,,,,,
G76,List of deadly floods,1974 Bangladesh flood due to monsoon rain,"Year: 1974; Location: Bangladesh; Deaths: 28,700",Bangladesh,,,,,,,,,,
G76,List of deadly floods,1999 Vargas mudslide,"Year: 1999; Location: Venezuela; Deaths: 20,000",Venezuela,,,,,,,,,,
G76,List of deadly floods,"Sichuan, Hubei, Anhui flood","Year: 1980; Location: China; Deaths: 6,200",China,,,,,,,,,,
G76,List of deadly floods,2013 North India floods,"Year: 2013; Location: India; Deaths: 6,054",India,,,,,,,,,,
G76,List of deadly floods,1963 Great Hai River flood,"Year: 1963; Location: China; Deaths: 5,154 (official)[citation needed]",China,,,,,,,,,,
G76,List of deadly floods,"1968 Rajasthan, Gujarat monsoon rain","Year: 1968; Location: India; Deaths: 4,892",India,,,,,,,,,,
G76,List of deadly floods,"1998 Eastern India, Bangladesh monsoon rain","Year: 1998; Location: India, Bangladesh; Deaths: 3,838",India,Bangladesh,,,,,,,,,
G76,List of deadly floods,1989 Sichuan flood,"Year: 1989; Location: China; Deaths: 3,814",China,,,,,,,,,,
G76,List of deadly floods,1978 Northern India monsoon rain,"Year: 1978; Location: India; Deaths: 3,800",India,,,,,,,,,,
G76,List of deadly floods,1998 Yangtze river flood,"Year: 1998; Location: China; Deaths: 3,656",China,,,,,,,,,,
G76,List of deadly floods,"2010 China floods, landslides","Year: 2010; Location: China, North Korea; Deaths: 3,189+",China,North Korea,,,,,,,,,
G76,List of deadly floods,1993 South Asian monsoon rain,"Year: 1993; Location: Nepal, India, Bangladesh, Pakistan; Deaths: 3,084",Nepal,India,Bangladesh,Pakistan,,,,,,,
G76,List of deadly floods,"2004 Eastern India, Bangladesh monsoon rain","Year: 2004; Location: India, Bangladesh; Deaths: 3,076",India,Bangladesh,,,,,,,,,
G76,List of deadly floods,"1992 Afghanistan flood, mainly, Gulbahar, Kalotak, Shutul, Parwan, flash flood, mudslide","Year: 1992; Location: Afghanistan; Deaths: 3,000",Afghanistan,,,,,,,,,,
G76,List of deadly floods,2011 Southeast Asian floods,"Year: 2011; Location: Philippines, Thailand, Cambodia, Myanmar, Vietnam, Laos, Malaysia; Deaths: 2,828",Philippines,Thailand,Cambodia,Myanmar,Vietnam,Laos,Malaysia,,,,
G76,List of deadly floods,"1996 China flood, torrential floods, mud-rock flows","Year: 1996; Location: China; Deaths: 2,775",China,,,,,,,,,,
G76,List of deadly floods,"North Sea flood, storm surge","Year: 838; Location: Netherlands; Deaths: 2,400",Netherlands,,,,,,,,,,
G76,List of deadly floods,2016 Indian floods by monsoon rain,"Year: 2016; Location: India; Deaths: 1,000-8,000",India,,,,,,,,,,
G76,List of deadly floods,1988 Bangladesh monsoon rain,"Year: 1988; Location: Bangladesh; Deaths: 2,379",Bangladesh,,,,,,,,,,
G76,List of deadly floods,"1981 Sichuan, Shanxi flood","Year: 1981; Location: China; Deaths: 2,075",China,,,,,,,,,,
G76,List of deadly floods,1987 Bangladesh monsoon rain,"Year: 1987; Location: Bangladesh; Deaths: 2,055",Bangladesh,,,,,,,,,,
G76,List of deadly floods,Morvi dam burst,"Year: 1979; Location: India (Morvi, Gujarat); Deaths: 2,000-5,0001",India,,,,,,,,,,
G76,List of deadly floods,May 2004 Caribbean floods,"Year: 2004; Location: Haiti, Dominican Republic, Puerto Rico, Jamaica, Cuba, Bahamas, Turks and Caicos Islands; Deaths: 2,000+",Haiti,Dominican Republic,USA,Jamaica,Cuba,Bahamas,Turks and Caicos,,,,
G76,List of deadly floods,Vajont Dam landslide and flood,"Year: 1963; Location: Italy; Deaths: 1,921",Italy,,,,,,,,,,
G76,List of deadly floods,"1992 Pakistan, Northern India monsoon rain","Year: 1992; Location: Pakistan, India; Deaths: 1,834",Pakistan,India,,,,,,,,,
G76,List of deadly floods,2022 Pakistan floods,"Year: 2022; Location: Pakistan; Deaths: 1,739",Pakistan,,,,,,,,,,
