Category ID,Category,Event,Event description,Country,
G9,Sovereign Debt Defaults,Afghanistan - 1964,"HIPC countries; Afghanistan in default with Other_Official_Creditors, IMF",Afghanistan,
G9,Sovereign Debt Defaults,Afghanistan - 1972,HIPC countries; Afghanistan in default with Other_Official_Creditors,Afghanistan,
G9,Sovereign Debt Defaults,Afghanistan - 1976,HIPC countries; Afghanistan in default with Other_Official_Creditors,Afghanistan,
G9,Sovereign Debt Defaults,Afghanistan - 1980,HIPC countries; Afghanistan in default with Other_Official_Creditors,Afghanistan,
G9,Sovereign Debt Defaults,Afghanistan - 1989,HIPC countries; Afghanistan in default with IDA,Afghanistan,
G9,Sovereign Debt Defaults,Afghanistan - 1992,"HIPC countries; Afghanistan in default with IDA, Other_Official_Creditors, IMF, Paris_Club, Private_Creditors",Afghanistan,
G9,Sovereign Debt Defaults,Albania - 1991,"Other developing countries; Albania in default with Private_Creditors, FC_Bank_Loans, Other_Official_Creditors, Paris_Club",Albania,
G9,Sovereign Debt Defaults,Albania - 2013,Other developing countries; Albania in default with Other_Official_Creditors,Albania,
G9,Sovereign Debt Defaults,Albania - 2017,Other developing countries; Albania in default with Other_Official_Creditors,Albania,
G9,Sovereign Debt Defaults,Albania - 2019,Other developing countries; Albania in default with Other_Official_Creditors,Albania,
G9,Sovereign Debt Defaults,Algeria - 1976,"Other developing countries; Algeria in default with Other_Official_Creditors, Private_Creditors",Algeria,
G9,Sovereign Debt Defaults,Algeria - 1987,Other developing countries; Algeria in default with Private_Creditors,Algeria,
G9,Sovereign Debt Defaults,Algeria - 1990,"Other developing countries; Algeria in default with Other_Official_Creditors, Private_Creditors, FC_Bank_Loans, Paris_Club",Algeria,
G9,Sovereign Debt Defaults,Algeria - 2002,Other developing countries; Algeria in default with Other_Official_Creditors,Algeria,
G9,Sovereign Debt Defaults,Algeria - 2012,Other developing countries; Algeria in default with Other_Official_Creditors,Algeria,
G9,Sovereign Debt Defaults,Algeria - 2018,Other developing countries; Algeria in default with Other_Official_Creditors,Algeria,
G9,Sovereign Debt Defaults,Angola - 1989,"Other developing countries; Angola in default with Paris_Club, Other_Official_Creditors, Private_Creditors, LC_Debt, China",Angola,
G9,Sovereign Debt Defaults,Antigua and Barbuda - 1985,Other developing countries; Antigua and Barbuda in default with Other_Official_Creditors,Antigua and Barbuda,
G9,Sovereign Debt Defaults,Antigua and Barbuda - 1996,"Other developing countries; Antigua and Barbuda in default with FC_Bank_Loans, Other_Official_Creditors, FC_Bonds, Paris_Club",Antigua and Barbuda,
G9,Sovereign Debt Defaults,Argentina - 1961,"Emerging/frontier markets; Argentina in default with IMF, Other_Official_Creditors, FC_Bank_Loans, Paris_Club",Argentina,
G9,Sovereign Debt Defaults,Argentina - 1965,"Emerging/frontier markets; Argentina in default with IMF, Paris_Club, Other_Official_Creditors",Argentina,
G9,Sovereign Debt Defaults,Argentina - 1976,Emerging/frontier markets; Argentina in default with FC_Bank_Loans,Argentina,
G9,Sovereign Debt Defaults,Argentina - 1982,"Emerging/frontier markets; Argentina in default with FC_Bank_Loans, LC_Debt, Other_Official_Creditors, Private_Creditors, Paris_Club, FC_Bonds",Argentina,
G9,Sovereign Debt Defaults,Argentina - 2000,"Emerging/frontier markets; Argentina in default with Private_Creditors, FC_Bonds, IBRD, Paris_Club, Other_Official_Creditors, FC_Bank_Loans, LC_Debt, IMF",Argentina,
G9,Sovereign Debt Defaults,Armenia - 1993,"Emerging/frontier markets; Armenia in default with Private_Creditors, Other_Official_Creditors",Armenia,
G9,Sovereign Debt Defaults,Armenia - 2000,Emerging/frontier markets; Armenia in default with Other_Official_Creditors,Armenia,
G9,Sovereign Debt Defaults,Azerbaijan - 1994,Emerging/frontier markets; Azerbaijan in default with Other_Official_Creditors,Azerbaijan,
G9,Sovereign Debt Defaults,Azerbaijan - 2004,Emerging/frontier markets; Azerbaijan in default with Other_Official_Creditors,Azerbaijan,
G9,Sovereign Debt Defaults,Azerbaijan - 2020,Emerging/frontier markets; Azerbaijan in default with Other_Official_Creditors,Azerbaijan,
G9,Sovereign Debt Defaults,Bangladesh - 1973,"Other developing countries; Bangladesh in default with Other_Official_Creditors, Private_Creditors, China",Bangladesh,
G9,Sovereign Debt Defaults,Barbados - 2018,"Other developing countries; Barbados in default with Other_Official_Creditors, FC_Bank_Loans, FC_Bonds, LC_Debt",Barbados,
G9,Sovereign Debt Defaults,Belarus - 1993,"Emerging/frontier markets; Belarus in default with Other_Official_Creditors, Private_Creditors",Belarus,
G9,Sovereign Debt Defaults,Belize - 1981,"Emerging/frontier markets; Belize in default with Other_Official_Creditors, Private_Creditors",Belize,
G9,Sovereign Debt Defaults,Belize - 1999,Emerging/frontier markets; Belize in default with Private_Creditors,Belize,
G9,Sovereign Debt Defaults,Belize - 2001,"Emerging/frontier markets; Belize in default with Other_Official_Creditors, Private_Creditors, FC_Bonds",Belize,
G9,Sovereign Debt Defaults,Benin - 1961,"HIPC countries; Benin in default with Other_Official_Creditors, Private_Creditors, Paris_Club, China",Benin,
G9,Sovereign Debt Defaults,Bhutan - 1990,Other developing countries; Bhutan in default with Other_Official_Creditors,Bhutan,
G9,Sovereign Debt Defaults,Bhutan - 2005,Other developing countries; Bhutan in default with Other_Official_Creditors,Bhutan,
G9,Sovereign Debt Defaults,Bolivia - 1961,"HIPC countries; Bolivia in default with Other_Official_Creditors, FC_Bonds, IMF, Private_Creditors, FC_Bank_Loans, LC_Debt, Paris_Club, China",Bolivia,
G9,Sovereign Debt Defaults,Bolivia - 2014,HIPC countries; Bolivia in default with Other_Official_Creditors,Bolivia,
G9,Sovereign Debt Defaults,Bolivia - 2017,HIPC countries; Bolivia in default with Other_Official_Creditors,Bolivia,
G9,Sovereign Debt Defaults,Bolivia - 2020,HIPC countries; Bolivia in default with Other_Official_Creditors,Bolivia,
G9,Sovereign Debt Defaults,Bosnia & Herzegovina - 1992,"Other developing countries; Bosnia & Herzegovina in default with IBRD, FC_Bank_Loans, IMF, Paris_Club, Other_Official_Creditors, Private_Creditors",Bosnia & Herzegovina,
G9,Sovereign Debt Defaults,Bosnia & Herzegovina - 2016,Other developing countries; Bosnia & Herzegovina in default with Other_Official_Creditors,Bosnia & Herzegovina,
G9,Sovereign Debt Defaults,Bosnia & Herzegovina - 2020,Other developing countries; Bosnia & Herzegovina in default with Other_Official_Creditors,Bosnia & Herzegovina,
G9,Sovereign Debt Defaults,Botswana - 1979,Other developing countries; Botswana in default with Other_Official_Creditors,Botswana,
G9,Sovereign Debt Defaults,Botswana - 1986,"Other developing countries; Botswana in default with Other_Official_Creditors, Private_Creditors",Botswana,
G9,Sovereign Debt Defaults,Botswana - 2017,"Other developing countries; Botswana in default with Other_Official_Creditors, China, Private_Creditors",Botswana,
G9,Sovereign Debt Defaults,Brazil - 1961,"Emerging/frontier markets; Brazil in default with Paris_Club, Other_Official_Creditors, Private_Creditors, FC_Bank_Loans, IMF",Brazil,
G9,Sovereign Debt Defaults,Brazil - 1971,"Emerging/frontier markets; Brazil in default with Private_Creditors, Other_Official_Creditors, Paris_Club, FC_Bank_Loans, LC_Debt",Brazil,
G9,Sovereign Debt Defaults,Brazil - 2003,"Emerging/frontier markets; Brazil in default with Private_Creditors, Other_Official_Creditors, IMF",Brazil,
