Category ID,Category,Event,Event description,country,ccode,type,src
G4,Colonial wars,Al Aqsa Intifada,Colonial - conflict with colony: Israel vs. Palestinians,Israel,ISR,Polity,data
G4,Colonial wars,American-Philippine,Colonial - conflict with colony: United States of America vs. Philippines,United States of America,USA,Polity,data
G4,Colonial wars,Angolan-Portuguese,Colonial - conflict with colony: Portugal vs. Angola,Portugal,POR,Polity,data
G4,Colonial wars,British-Bharatpuran,Colonial - conflict with colony: United Kingdom vs. Bharatpuran rebels,United Kingdom,UKG,Polity,data
G4,Colonial wars,British-Kandyan,Colonial - conflict with colony: United Kingdom vs. Kandyan rebels,United Kingdom,UKG,Polity,data
G4,Colonial wars,British-Maori,Colonial - conflict with colony: United Kingdom vs. New Zealand Maori,United Kingdom,UKG,Polity,data
G4,Colonial wars,British-Maratha,Colonial - conflict with colony: United Kingdom vs. Marathas,United Kingdom,UKG,Polity,data
G4,Colonial wars,British-Mau Mau,Colonial - conflict with colony: United Kingdom vs. Mau Mau,United Kingdom,UKG,Polity,data
G4,Colonial wars,British-Palestinian,Colonial - conflict with colony: United Kingdom vs. Palestinians,United Kingdom,UKG,Polity,data
G4,Colonial wars,British-Pathan,Colonial - conflict with colony: United Kingdom vs. Pathans,United Kingdom,UKG,Polity,data
G4,Colonial wars,British-Santal,Colonial - conflict with colony: United Kingdom vs. Santal,United Kingdom,UKG,Polity,data
G4,Colonial wars,Caco Revolt,Colonial - conflict with colony: United States vs. Caco Rebels,United States of America,USA,Polity,data
G4,Colonial wars,Dutch - Javanese,Colonial - conflict with colony: Netherlands vs. Javanese rebels,Netherlands,NTH,Polity,data
G4,Colonial wars,First Boer War,Colonial - conflict with colony: United Kingdom vs. Transvaal,United Kingdom,UKG,Polity,data
G4,Colonial wars,First Bolivar Expedition,Colonial - conflict with colony: Spain vs. New Granada,Spain,SPN,Polity,data
G4,Colonial wars,First British-Mahdi,"Colonial - conflict with colony: Egypt, United Kingdom vs. Mahdist Empire",United Kingdom,UKG,Polity,data
G4,Colonial wars,First British-Mahdi,"Colonial - conflict with colony: Egypt, United Kingdom vs. Mahdist Empire",Egypt,EGY,Polity,data
G4,Colonial wars,First Sino-Tibetan,Colonial - conflict with colony: China vs. Tibet,China,CHN,Polity,data
G4,Colonial wars,First Spanish-Cuban,Colonial - conflict with colony: Spain vs. Cuba,Spain,SPN,Polity,data
G4,Colonial wars,Franco-Druze,Colonial - conflict with colony: France vs. Druze,France,FRN,Polity,data
G4,Colonial wars,Franco-Tunisian,Colonial - conflict with colony: France vs. Tunisia,France,FRN,Polity,data
G4,Colonial wars,French-Berber,Colonial - conflict with colony: France vs. Berbers,France,FRN,Polity,data
G4,Colonial wars,French-Cameroon,Colonial - conflict with colony: France vs. UPC,France,FRN,Polity,data
