Category ID,Category,Event,Event description,country,ccode,type
G3,Inter-state wars,Anglo-Persian,"Inter-state war: United Kingdom, Iran",Iran (Islamic Republic of),IRN,Both
G3,Inter-state wars,Anglo-Persian,"Inter-state war: United Kingdom, Iran",United Kingdom of Great Britain and Northern Ireland (the),GBR,Polity
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Egypt,EGY,Polity
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Iraq,IRQ,Polity
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Israel,ISR,Both
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Jordan,JOR,Polity
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Lebanon,LBN,Polity
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Syrian Arab Republic (the),SYR,Polity
G3,Inter-state wars,Assam,"Inter-state war: India, China (PRC)",China,CHN,Both
G3,Inter-state wars,Assam,"Inter-state war: India, China (PRC)",India,IND,Both
G3,Inter-state wars,Austro-Sardinian,"Inter-state war: Tuscany, Italy, Austria, Modena",Italy,ITA,Geography
G3,Inter-state wars,Azeri-Armenian,"Inter-state war: Azerbaijan, Armenia",Armenia,ARM,Both
G3,Inter-state wars,Azeri-Armenian,"Inter-state war: Azerbaijan, Armenia",Azerbaijan,AZE,Both
G3,Inter-state wars,Badme Border,"Inter-state war: Eritrea, Ethiopia",Eritrea,ERI,Both
G3,Inter-state wars,Badme Border,"Inter-state war: Eritrea, Ethiopia",Ethiopia,ETH,Both
G3,Inter-state wars,Bangladesh,"Inter-state war: India, Pakistan",India,IND,Both
G3,Inter-state wars,Bangladesh,"Inter-state war: India, Pakistan",Pakistan,PAK,Polity
G3,Inter-state wars,Bosnian Independence,"Inter-state war: Croatia, Bosnia, Yugoslavia",Bosnia and Herzegovina,BIH,Both
G3,Inter-state wars,Bosnian Independence,"Inter-state war: Croatia, Bosnia, Yugoslavia",Croatia,HRV,Polity
G3,Inter-state wars,Bosnian Independence,"Inter-state war: Croatia, Bosnia, Yugoslavia",Yugoslavia,YUG,Both
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",China,CHN,Both
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",France,FRA,Polity
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",Japan,JPN,Polity
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",Russian Federation (the),RUS,Polity
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",United Kingdom of Great Britain and Northern Ireland (the),GBR,Polity
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",United States of America (the),USA,Polity
G3,Inter-state wars,Cenepa Valley,"Inter-state war: Ecuador, Peru",Ecuador,ECU,Both
G3,Inter-state wars,Cenepa Valley,"Inter-state war: Ecuador, Peru",Peru,PER,Both
G3,Inter-state wars,Chaco,"Inter-state war: Bolivia, Paraguay",Bolivia (Plurinational State of),BOL,Both
