Category ID,Category,Event,Event description,country,ccode,type,src
G3,Inter-state wars,Anglo-Persian,"Inter-state war: United Kingdom, Iran",United Kingdom,UKG,Polity,data
G3,Inter-state wars,Anglo-Persian,"Inter-state war: United Kingdom, Iran",Iran,IRN,Polity,data
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Iraq,IRQ,Polity,data
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Egypt,EGY,Polity,data
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Syria,SYR,Polity,data
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Lebanon,LEB,Polity,data
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Jordan,JOR,Polity,data
G3,Inter-state wars,Arab-Israeli,"Inter-state war: Israel, Egypt, Syria, Lebanon, Jordan, Iraq",Israel,ISR,Polity,data
G3,Inter-state wars,Assam,"Inter-state war: India, China (PRC)",China,CHN,Polity,data
G3,Inter-state wars,Assam,"Inter-state war: India, China (PRC)",India,IND,Polity,data
G3,Inter-state wars,Austro-Sardinian,"Inter-state war: Tuscany, Italy, Austria, Modena",Austria-Hungary,AUH,Polity,data
G3,Inter-state wars,Austro-Sardinian,"Inter-state war: Tuscany, Italy, Austria, Modena",Italy,ITA,Polity,data
G3,Inter-state wars,Austro-Sardinian,"Inter-state war: Tuscany, Italy, Austria, Modena",Modena,MOD,Polity,data
G3,Inter-state wars,Austro-Sardinian,"Inter-state war: Tuscany, Italy, Austria, Modena",Tuscany,TUS,Polity,data
G3,Inter-state wars,Azeri-Armenian,"Inter-state war: Azerbaijan, Armenia",Armenia,ARM,Polity,data
G3,Inter-state wars,Azeri-Armenian,"Inter-state war: Azerbaijan, Armenia",Azerbaijan,AZE,Polity,data
G3,Inter-state wars,Badme Border,"Inter-state war: Eritrea, Ethiopia",Ethiopia,ETH,Polity,data
G3,Inter-state wars,Badme Border,"Inter-state war: Eritrea, Ethiopia",Eritrea,ERI,Polity,data
G3,Inter-state wars,Bangladesh,"Inter-state war: India, Pakistan",India,IND,Polity,data
G3,Inter-state wars,Bangladesh,"Inter-state war: India, Pakistan",Pakistan,PAK,Polity,data
G3,Inter-state wars,Bosnian Independence,"Inter-state war: Croatia, Bosnia, Yugoslavia",Croatia,CRO,Polity,data
G3,Inter-state wars,Bosnian Independence,"Inter-state war: Croatia, Bosnia, Yugoslavia",Yugoslavia,YUG,Polity,data
G3,Inter-state wars,Bosnian Independence,"Inter-state war: Croatia, Bosnia, Yugoslavia",Bosnia and Herzegovina,BOS,Polity,data
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",United States of America,USA,Polity,data
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",United Kingdom,UKG,Polity,data
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",France,FRN,Polity,data
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",Russia,RUS,Polity,data
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",China,CHN,Polity,data
G3,Inter-state wars,Boxer Rebellion,"Inter-state war: Russia, Japan, United States of America, China, United Kingdom, France",Japan,JPN,Polity,data
G3,Inter-state wars,Cenepa Valley,"Inter-state war: Ecuador, Peru",Ecuador,ECU,Polity,data
G3,Inter-state wars,Cenepa Valley,"Inter-state war: Ecuador, Peru",Peru,PER,Polity,data
G3,Inter-state wars,Chaco,"Inter-state war: Bolivia, Paraguay",Bolivia,BOL,Polity,data
G3,Inter-state wars,Chaco,"Inter-state war: Bolivia, Paraguay",Paraguay,PAR,Polity,data
G3,Inter-state wars,Changkufeng,"Inter-state war: USSR, Japan",Russia,RUS,Polity,data
G3,Inter-state wars,Changkufeng,"Inter-state war: USSR, Japan",Japan,JPN,Polity,data
G3,Inter-state wars,Communist Coalition,"Inter-state war: Vietnam, United States of America, Cambodia, South Vietnam",United States of America,USA,Polity,data
G3,Inter-state wars,Communist Coalition,"Inter-state war: Vietnam, United States of America, Cambodia, South Vietnam",Cambodia,CAM,Polity,data
G3,Inter-state wars,Communist Coalition,"Inter-state war: Vietnam, United States of America, Cambodia, South Vietnam",Vietnam,DRV,Polity,data
G3,Inter-state wars,Communist Coalition,"Inter-state war: Vietnam, United States of America, Cambodia, South Vietnam",Republic of Vietnam,RVN,Polity,data
G3,Inter-state wars,Conquest of Egypt,"Inter-state war: Egypt, United Kingdom",United Kingdom,UKG,Polity,data
G3,Inter-state wars,Conquest of Egypt,"Inter-state war: Egypt, United Kingdom",Egypt,EGY,Polity,data
G3,Inter-state wars,Conquest of Ethiopia,"Inter-state war: Italy, Ethiopia",Italy,ITA,Polity,data
G3,Inter-state wars,Conquest of Ethiopia,"Inter-state war: Italy, Ethiopia",Ethiopia,ETH,Polity,data
G3,Inter-state wars,Crimean,"Inter-state war: Turkey, Italy, France, United Kingdom, Russia",United Kingdom,UKG,Polity,data
G3,Inter-state wars,Crimean,"Inter-state war: Turkey, Italy, France, United Kingdom, Russia",France,FRN,Polity,data
G3,Inter-state wars,Crimean,"Inter-state war: Turkey, Italy, France, United Kingdom, Russia",Italy,ITA,Polity,data
G3,Inter-state wars,Crimean,"Inter-state war: Turkey, Italy, France, United Kingdom, Russia",Russia,RUS,Polity,data
G3,Inter-state wars,Crimean,"Inter-state war: Turkey, Italy, France, United Kingdom, Russia",Turkey,TUR,Polity,data
G3,Inter-state wars,Ecuadorian-Colombian,"Inter-state war: Colombia, Ecuador",Colombia,COL,Polity,data
G3,Inter-state wars,Ecuadorian-Colombian,"Inter-state war: Colombia, Ecuador",Ecuador,ECU,Polity,data
G3,Inter-state wars,Estonian Liberation,"Inter-state war: Estonia, Finland, Russia",Russia,RUS,Polity,data
G3,Inter-state wars,Estonian Liberation,"Inter-state war: Estonia, Finland, Russia",Estonia,EST,Polity,data
G3,Inter-state wars,Estonian Liberation,"Inter-state war: Estonia, Finland, Russia",Finland,FIN,Polity,data
G3,Inter-state wars,Falkland Islands,"Inter-state war: United Kingdom, Argentina",Argentina,ARG,Polity,data
G3,Inter-state wars,Falkland Islands,"Inter-state war: United Kingdom, Argentina",United Kingdom,UKG,Polity,data
G3,Inter-state wars,First Balkan,"Inter-state war: Turkey, Greece, Bulgaria, Yugoslavia",Yugoslavia,YUG,Polity,data
G3,Inter-state wars,First Balkan,"Inter-state war: Turkey, Greece, Bulgaria, Yugoslavia",Greece,GRC,Polity,data
G3,Inter-state wars,First Balkan,"Inter-state war: Turkey, Greece, Bulgaria, Yugoslavia",Bulgaria,BUL,Polity,data
G3,Inter-state wars,First Balkan,"Inter-state war: Turkey, Greece, Bulgaria, Yugoslavia",Turkey,TUR,Polity,data
G3,Inter-state wars,First Central American,"Inter-state war: Guatemala, El Salvador",Guatemala,GUA,Polity,data
G3,Inter-state wars,First Central American,"Inter-state war: Guatemala, El Salvador",El Salvador,SAL,Polity,data
G3,Inter-state wars,First Kashmir,"Inter-state war: India, Pakistan",India,IND,Polity,data
G3,Inter-state wars,First Kashmir,"Inter-state war: India, Pakistan",Pakistan,PAK,Polity,data
G3,Inter-state wars,First Russo-Turkish,"Inter-state war: Ottoman Empire, Russia",Russia,RUS,Polity,data
G3,Inter-state wars,First Russo-Turkish,"Inter-state war: Ottoman Empire, Russia",Turkey,TUR,Polity,data
G3,Inter-state wars,First Schleswig-Holstein,"Inter-state war: Prussia, Denmark",Germany,GMY,Polity,data
G3,Inter-state wars,First Schleswig-Holstein,"Inter-state war: Prussia, Denmark",Denmark,DEN,Polity,data
G3,Inter-state wars,First Sino-Japanese,"Inter-state war: China, Japan",China,CHN,Polity,data
G3,Inter-state wars,First Sino-Japanese,"Inter-state war: China, Japan",Japan,JPN,Polity,data
G3,Inter-state wars,First Spanish-Moroccan,"Inter-state war: Morocco, Spain",Spain,SPN,Polity,data
G3,Inter-state wars,First Spanish-Moroccan,"Inter-state war: Morocco, Spain",Morocco,MOR,Polity,data
G3,Inter-state wars,Football War,"Inter-state war: Honduras, El Salvador",Honduras,HON,Polity,data
G3,Inter-state wars,Football War,"Inter-state war: Honduras, El Salvador",El Salvador,SAL,Polity,data
G3,Inter-state wars,Fourth Central American,"Inter-state war: Nicaragua, El Salvador, Honduras",Honduras,HON,Polity,data
G3,Inter-state wars,Fourth Central American,"Inter-state war: Nicaragua, El Salvador, Honduras",El Salvador,SAL,Polity,data
G3,Inter-state wars,Fourth Central American,"Inter-state war: Nicaragua, El Salvador, Honduras",Nicaragua,NIC,Polity,data
