Category ID,Category,Event,Event description,country,ccode
G86,Targeted Mass Killings,USSR Invasion and Afghan Civil War - Afghanistan,"Actors: Government of Afghanistan, Government of Afghanistan/ USSR; Targeted groups: Opponents of DRA regime, Anti-communist Afghans",Afghanistan,AFG
G86,Targeted Mass Killings,Afghan Conflict - Afghanistan,"Actors: Government of Afghanistan, Hezb-I Wahdat, Ittihad-I Islami, Jamiat-I Islami, UIFSA; Targeted groups: Hazara, Uzbek, Pashtun civilians, Hazara civilians, Supporters of the Taliban",Afghanistan,AFG
G86,Targeted Mass Killings,Algerian Independence Harki/European Massacres - Algeria,"Actors: FLN; Targeted groups: Harki, Europeans",Algeria,DZA
G86,Targeted Mass Killings,All Saints Massacre - Angola,Actors: Government of Angola; Targeted groups: Ovimbundu/UNITA Supporters,Angola,AGO
G86,Targeted Mass Killings,Argentine Dirty War - Argentina,Actors: Government of Argentina; Targeted groups: Leftists,Argentina,ARG
G86,Targeted Mass Killings,Nagorno-Karabakh War - Azerbaijan,Actors: Republic of Nagorno-Karabakh; Targeted groups: Azeris,Azerbaijan,AZE
G86,Targeted Mass Killings,"Myanmar internal conflicts and suppression of protestors - Myanmar (Burma), Bangladesh","Actors: Government of Myanmar (Burma), Government supported Burmese mobs; Targeted groups: Anti-government students, Minority ethnic groups, including Shan, Kayin and Rakhine, Anti-government protestors, Anti-government student protestors, Anti-government textile/dockyard workers, Rohingya Muslims, Rohingya, Ethnic Chinese",Bangladesh,BGD
G86,Targeted Mass Killings,Chittagong Hill Tracts Conflict and PCJSS Insurgency - Bangladesh,"Actors: Government of Bangladesh, JSS/SB, Shanti Bahini; Targeted groups: Jumma, Chakma, Bengali settlers",Bangladesh,BGD
G86,Targeted Mass Killings,Jmjb Vigilante Killings - Bangladesh,Actors: Jagrata Muslim Janata Bangladesh; Targeted groups: Purba Banglar Communist Party leaders/supporters,Bangladesh,BGD
G86,Targeted Mass Killings,Bosnian War - Bosnia-Herzegovina,"Actors: Croatian Republic of Bosnia-Herzegovina, Government of Bosnia-Herzegovina, Serbian Republic of Bosnia and Hercegovina, Serbian irregulars; Targeted groups: Bosniak Muslims, Ethnic Serbs, Bosnian Serbs, Bosnian Croats",Bosnia-Herzegovina,
G86,Targeted Mass Killings,Tutsi Killing Of Hutus - Burundi,"Actors: Government of Burundi; Targeted groups: Hutus, 0",Burundi,BDI
G86,Targeted Mass Killings,Burundi insurrection and genocide - Burundi,"Actors: Government of Burundi, Hutu Rebels; Targeted groups: Hutus, Tutsis",Burundi,BDI
G86,Targeted Mass Killings,Coup Attempt - Burundi,Actors: Government of Burundi; Targeted groups: Hutus,Burundi,BDI
G86,Targeted Mass Killings,Burundian Civil War - Burundi,"Actors: Burundian Army, FRODEBU, Government of Burundi; Targeted groups: Hutu, Tutsi, Burundian Hutu",Burundi,BDI
G86,Targeted Mass Killings,Cambodian civil war and genocide - Cambodia,"Actors: Government of Cambodia (Kampuchea), Khmer Rouge; Targeted groups: Ethnic Vietnamese, Urban residents, Cham Muslims, Ethnic Chinese, Buddhist monks, Any religious practicioners, mostly Buddhists but also Muslims, Opponents of Khmer collectivistation projects",Cambodia,KHM
G86,Targeted Mass Killings,"Boko Haram Insurgency - Nigeria, Cameroon, Chad, Niger","Actors: Boko Haram, Jama'atu Ahlis Sunna Lidda'awati wal-Jihad; Targeted groups: Christians, Nigerian Christians",Cameroon,CMR
G86,Targeted Mass Killings,Central African Republic Civil War - Central African Republic,"Actors: anti-Balaka, FPRC, Government of Central African Republic; Targeted groups: Muslims, Christians, Christian",Central African Republic,
