country	ccode	year	month	day	coup
"Cuba"	40	1952	3	10	2
"Cuba"	40	1957	9	5	1
"Haiti"	41	1950	5	10	2
"Haiti"	41	1957	4	2	2
"Haiti"	41	1957	5	21	2
"Haiti"	41	1957	6	14	2
"Haiti"	41	1970	4	24	1
"Haiti"	41	1986	2	7	2
"Haiti"	41	1988	6	20	2
"Haiti"	41	1988	9	18	2
"Haiti"	41	1989	4	2	1
"Haiti"	41	1989	4	5	1
"Haiti"	41	1991	1	7	1
"Haiti"	41	1991	9	30	2
"Dominican Republic"	42	1962	1	16	1
"Dominican Republic"	42	1963	9	25	2
"Dominican Republic"	42	1965	4	25	2
"Dominican Republic"	42	1965	11	22	1
"Dominica"	54	1981	12	19	1
"Grenada"	55	1979	3	13	2
"Grenada"	55	1983	10	14	2
"Guatemala"	90	1954	6	29	2
"Guatemala"	90	1955	1	20	1
"Guatemala"	90	1957	10	24	2
"Guatemala"	90	1960	11	13	1
"Guatemala"	90	1962	11	25	1
"Guatemala"	90	1963	3	30	2
"Guatemala"	90	1982	3	23	2
"Guatemala"	90	1983	8	8	2
"Guatemala"	90	1988	5	11	1
"Guatemala"	90	1989	5	9	1
"Honduras"	91	1956	8	1	1
"Honduras"	91	1956	10	21	2
"Honduras"	91	1959	7	12	1
"Honduras"	91	1963	10	3	2
"Honduras"	91	1972	12	4	2
"Honduras"	91	1975	4	22	2
"Honduras"	91	1977	10	21	1
"Honduras"	91	1978	8	7	2
"Honduras"	91	1999	7	30	1
"Honduras"	91	2009	6	28	2
"El Salvador"	92	1960	10	26	2
"El Salvador"	92	1961	1	25	2
"El Salvador"	92	1972	3	25	1
"El Salvador"	92	1979	10	15	2
"Panama"	95	1951	5	9	2
"Panama"	95	1968	10	12	2
"Panama"	95	1969	12	14	1
"Panama"	95	1988	3	16	1
"Panama"	95	1989	10	3	1
"Colombia"	100	1953	6	13	2
"Colombia"	100	1957	5	10	2
"Colombia"	100	1958	5	2	1
"Colombia"	100	1961	10	11	1
"Venezuela"	101	1952	9	29	1
"Venezuela"	101	1958	1	1	1
"Venezuela"	101	1958	7	22	1
"Venezuela"	101	1958	9	7	1
"Venezuela"	101	1960	9	12	1
"Venezuela"	101	1961	2	20	1
"Venezuela"	101	1961	6	26	1
"Venezuela"	101	1962	5	4	1
"Venezuela"	101	1962	6	2	1
"Venezuela"	101	1966	10	30	1
"Venezuela"	101	1992	2	4	1
"Venezuela"	101	1992	11	27	1
"Venezuela"	101	2002	4	12	1
"Suriname"	115	1980	2	25	2
"Suriname"	115	1980	8	15	2
"Ecuador"	130	1952	3	3	1
"Ecuador"	130	1954	12	23	1
"Ecuador"	130	1956	8	7	1
"Ecuador"	130	1961	11	8	2
"Ecuador"	130	1963	7	11	2
"Ecuador"	130	1966	3	29	2
"Ecuador"	130	1972	2	15	2
"Ecuador"	130	1975	9	1	1
"Ecuador"	130	1976	1	11	2
"Ecuador"	130	1986	3	8	1
"Ecuador"	130	2000	1	21	2
"Peru"	135	1954	8	10	1
"Peru"	135	1956	2	16	1
"Peru"	135	1962	7	18	2
"Peru"	135	1963	3	3	2
"Peru"	135	1968	10	3	2
"Peru"	135	1975	8	29	2
"Peru"	135	1992	11	13	1
"Peru"	135	2000	10	30	1
"Brazil"	140	1955	11	11	2
"Brazil"	140	1959	12	3	1
"Brazil"	140	1963	9	12	1
"Brazil"	140	1964	3	30	2
"Brazil"	140	1964	4	1	2
"Brazil"	140	1969	8	31	2
"Bolivia"	145	1950	7	22	1
"Bolivia"	145	1951	5	16	2
"Bolivia"	145	1952	4	9	2
"Bolivia"	145	1953	1	6	1
"Bolivia"	145	1958	10	21	1
"Bolivia"	145	1959	4	19	1
"Bolivia"	145	1960	3	19	1
"Bolivia"	145	1964	11	3	2
"Bolivia"	145	1969	9	26	2
"Bolivia"	145	1970	10	6	2
"Bolivia"	145	1971	1	10	1
"Bolivia"	145	1971	8	22	2
"Bolivia"	145	1974	6	5	1
"Bolivia"	145	1978	7	21	2
"Bolivia"	145	1978	11	24	2
"Bolivia"	145	1979	10	11	1
"Bolivia"	145	1979	11	1	2
"Bolivia"	145	1980	7	17	2
"Bolivia"	145	1981	5	15	1
"Bolivia"	145	1981	5	25	1
"Bolivia"	145	1981	6	27	1
"Bolivia"	145	1981	8	3	2
"Bolivia"	145	1984	6	30	1
"Paraguay"	150	1954	5	5	2
"Paraguay"	150	1955	12	21	1
"Paraguay"	150	1989	2	3	2
"Paraguay"	150	2000	5	18	1
"Chile"	155	1973	6	29	1
"Chile"	155	1973	9	11	2
"Argentina"	160	1951	9	28	1
"Argentina"	160	1955	6	16	1
"Argentina"	160	1955	9	16	2
"Argentina"	160	1955	11	13	2
"Argentina"	160	1956	6	9	1
"Argentina"	160	1960	6	13	1
"Argentina"	160	1960	11	30	1
"Argentina"	160	1961	8	11	1
"Argentina"	160	1962	3	28	2
"Argentina"	160	1962	8	8	1
"Argentina"	160	1962	9	19	1
"Argentina"	160	1963	4	2	1
"Argentina"	160	1966	6	28	2
"Argentina"	160	1970	6	8	2
"Argentina"	160	1971	3	22	2
"Argentina"	160	1971	10	8	1
"Argentina"	160	1975	12	18	1
"Argentina"	160	1975	12	23	1
"Argentina"	160	1976	3	24	2
"Argentina"	160	1988	12	2	1
"Uruguay"	165	1973	2	10	2
"Uruguay"	165	1976	6	12	2
"Spain"	230	1981	2	23	1
"Portugal"	235	1962	1	1	1
"Portugal"	235	1974	4	25	2
"Portugal"	235	1975	3	11	1
"Portugal"	235	1975	11	25	1
"Greece"	350	1967	4	21	2
"Greece"	350	1967	12	13	1
"Greece"	350	1973	11	25	2
"Cyprus"	352	1974	7	15	2
"Russia"	365	1991	8	21	1
"Azerbaijan"	373	1994	10	4	1
"Azerbaijan"	373	1995	3	13	1
"Sao Tome and Principe"	403	1995	8	15	1
"Sao Tome and Principe"	403	2003	7	16	2
"Guinea-Bissau"	404	1980	11	15	2
"Guinea-Bissau"	404	1998	6	7	1
"Guinea-Bissau"	404	1999	5	7	2
"Guinea-Bissau"	404	2000	11	23	1
"Guinea-Bissau"	404	2003	9	14	2
"Guinea Bissau"	404	2008	11	23	1
"Equatorial Guinea"	411	1969	3	5	1
"Equatorial Guinea"	411	1979	8	3	2
"Gambia"	420	1981	7	29	1
"Gambia"	420	1994	7	23	2
"Gambia"	420	1994	11	11	1
"Mali"	432	1968	11	19	2
"Mali"	432	1978	2	15	1
"Mali"	432	1991	3	26	2
"Mali"	432	1991	7	14	1
"Senegal"	433	1962	12	17	1
"Benin"	434	1963	10	28	2
"Benin"	434	1965	11	29	2
"Benin"	434	1965	12	22	2
"Benin"	434	1967	12	17	2
"Benin"	434	1969	12	10	2
"Benin"	434	1972	2	23	1
"Benin"	434	1972	10	26	2
"Benin"	434	1975	1	21	1
"Mauritania"	435	1978	7	10	2
"Mauritania"	435	1980	1	4	2
"Mauritania"	435	1982	2	6	1
"Mauritania"	435	1984	12	12	2
"Mauritania"	435	2003	6	8	1
"Mauritania"	435	2005	8	3	2
"Mauritania"	435	2008	8	6	2
"Niger"	436	1974	4	15	2
"Niger"	436	1976	3	15	1
"Niger"	436	1983	10	5	1
"Niger"	436	1996	1	27	2
"Niger"	436	1999	4	9	2
"Niger"	436	2010	2	18	2
"Ivory Coast"	437	1999	12	24	2
"Ivory Coast"	437	2000	9	18	1
"Ivory Coast"	437	2001	1	6	1
"Ivory Coast"	437	2002	9	19	1
"Guinea"	438	1984	4	3	2
"Guinea"	438	1985	7	4	1
"Guinea"	438	1996	2	3	1
"Guinea"	438	2008	12	23	2
"Burkina Faso"	439	1966	1	3	2
"Burkina Faso"	439	1974	2	8	2
"Burkina Faso"	439	1980	11	25	2
"Burkina Faso"	439	1982	11	7	2
"Burkina Faso"	439	1983	8	4	2
"Burkina Faso"	439	1987	10	15	2
"Liberia"	450	1980	4	12	2
"Liberia"	450	1985	4	1	1
"Liberia"	450	1985	11	12	1
"Liberia"	450	1994	9	15	1
"Sierra Leone"	451	1967	3	21	1
"Sierra Leone"	451	1967	3	23	2
"Sierra Leone"	451	1968	4	18	2
"Sierra Leone"	451	1971	3	23	1
"Sierra Leone"	451	1987	3	23	1
"Sierra Leone"	451	1992	4	30	2
"Sierra Leone"	451	1992	12	29	1
"Sierra Leone"	451	1995	10	2	1
"Sierra Leone"	451	1996	1	16	2
"Sierra Leone"	451	1997	5	25	2
"Ghana"	452	1966	2	24	2
"Ghana"	452	1967	4	17	1
"Ghana"	452	1972	1	13	2
"Ghana"	452	1978	7	5	2
"Ghana"	452	1979	5	15	1
"Ghana"	452	1979	6	4	2
"Ghana"	452	1981	12	31	2
"Ghana"	452	1982	11	23	1
"Ghana"	452	1983	6	19	1
"Ghana"	452	1984	3	23	1
"Togo"	461	1963	1	13	2
"Togo"	461	1967	1	13	2
"Togo"	461	1991	10	1	1
"Togo"	461	1991	10	7	1
"Togo"	461	1991	11	28	1
"Togo"	461	1991	12	15	1
"Togo"	461	2005	2	5	2
"Cameroon"	471	1984	4	6	1
"Nigeria"	475	1966	1	15	2
"Nigeria"	475	1966	7	29	2
"Nigeria"	475	1975	7	29	2
"Nigeria"	475	1976	2	13	1
"Nigeria"	475	1983	12	31	2
"Nigeria"	475	1985	8	27	2
"Nigeria"	475	1990	4	22	1
"Nigeria"	475	1993	11	17	2
"Gabon"	481	1964	2	17	1
"Central African Republic"	482	1965	12	22	2
"Central African Republic"	482	1966	1	1	2
"Central African Republic"	482	1979	9	20	2
"Central African Republic"	482	1981	9	1	2
"Central African Republic"	482	2001	5	28	1
"Central African Republic"	482	2003	3	15	2
"Chad"	483	1975	4	13	2
"Chad"	483	1976	2	5	1
"Chad"	483	1977	4	1	1
"Chad"	483	1989	4	1	1
"Chad"	483	1991	10	13	1
"Chad"	483	1993	1	27	1
"Chad"	483	2006	4	13	1
"Congo"	484	1963	8	15	2
"Congo"	484	1966	6	27	1
"Congo"	484	1968	8	3	2
"Congo"	484	1968	8	30	2
"Congo"	484	1969	11	8	1
"Congo"	484	1970	3	22	1
"Congo"	484	1972	2	22	1
"Democratic Republic of the Congo"	490	1960	9	14	2
"Democratic Republic of the Congo"	490	1965	11	25	2
"Democratic Republic of the Congo"	490	2004	3	28	1
"Democratic Republic of the Congo"	490	2004	6	11	1
"Uganda"	500	1966	2	22	2
"Uganda"	500	1971	1	25	2
"Uganda"	500	1974	3	23	1
"Uganda"	500	1974	11	11	1
"Uganda"	500	1980	5	11	2
"Uganda"	500	1985	7	27	2
"Kenya"	501	1982	8	1	1
"Burundi"	516	1965	10	18	1
"Burundi"	516	1966	7	8	2
"Burundi"	516	1966	11	28	2
"Burundi"	516	1976	11	1	2
"Burundi"	516	1987	9	3	2
"Burundi"	516	1993	7	3	1
"Burundi"	516	1993	10	21	1
"Burundi"	516	1996	7	25	2
"Burundi"	516	2001	4	18	1
"Burundi"	516	2001	7	22	1
"Rwanda"	517	1973	7	5	2
"Rwanda"	517	1994	4	7	2
"Somalia"	520	1961	12	10	1
"Somalia"	520	1969	10	21	2
"Somalia"	520	1978	4	9	1
"Djibouti"	522	2000	12	7	1
"Ethiopia"	530	1960	12	14	1
"Ethiopia"	530	1961	12	14	1
"Ethiopia"	530	1974	9	12	2
"Ethiopia"	530	1977	2	3	2
"Ethiopia"	530	1989	5	16	1
"Angola"	540	1977	5	27	1
