Year,Structure,Location,Type,Casualties,Casualties2,deaths
1951,Duplessis bridge collapse,"Quebec, Canada",Bridge,4 dead,4 dead,4 dead
1953,Tangiwai Bridge,"Tangiwai, New Zealand",Bridge,151 dead,151 dead,151 dead
1957,WSM-TV Tower,"Nashville, Tennessee, US",Guyed mast (under construction),4 dead,4 dead,4 dead
1957,Rail bridge near St Johns railway station,"Lewisham, London, UK",Bridge,90 dead 173 injured,90 dead 173 injured,90 dead
1958,Second Narrows Bridge,"Vancouver, British Columbia, Canada",Bridge,19 dead,19 dead,19 dead
1958,LORAN-C transmitter Carolina Beach,"Carolina Beach, North Carolina, US",Radio tower,,,
1958,Collapse of the Ochsenkopf Transmitter,"Ochsenkopf, Germany",Guyed mast,,,
1959,Vega de Tera,"Ribadelago, Spain",Dam,144 dead,144 dead,144 dead
1959,Malpasset,"Côte d'Azur, France",Dam,423 dead,423 dead,423 dead
1959,October cinema collapse [ru],"Bryansk, USSR",Cinema,46 dead at least 123 injured,46 dead at least 123 injured,46 dead
1960,KOBR-TV Tower,"Caprock, New Mexico, US",Guyed mast,,,
1962,LORAN-C transmitter Ejde,"Ejde, Faroe Islands, Denmark",Radio tower,,,
1962,King Street Bridge,"Melbourne, Victoria, Australia",Bridge,,,
1963,Beaver Dam Bridge,"Murdochville, Quebec, Canada",Bridge,6 dead,6 dead,6 dead
1963,Vajont Dam,"Friuli Venezia Giulia, Italy",Dam,~1900-2500 dead,~1900-2500 dead,2500 dead
1963,Baldwin Hills Reservoir,"Los Angeles, California, US",Dam,5 dead,5 dead,5 dead
1964,General Rafael Urdaneta Bridge,"Maracaibo, Venezuela",Bridge,,,
1965,Mast of Iwo Jima LORAN-C transmitter,"Iwo Jima, Ogasawara Subprefecture, Japan",Radio tower,6 dead,6 dead,6 dead
1966,Heron Road Bridge,"Ottawa, Ontario, Canada",Bridge,9 dead 60+ injured,9 dead 60+ injured,9 dead
1967,Queen Juliana Bridge,"Willemstad, Curaçao",Bridge,15 dead,15 dead,15 dead
1967,Waltham transmitting station,"Waltham, UK",Guyed mast,,,
1967,Silver Bridge,"Point Pleasant, West Virginia, US",Bridge,46 dead,46 dead,46 dead
1968,Ronan Point collapse,"London, UK",High rise,4 dead 17 injured,4 dead 17 injured,4 dead
1968,KELO TV Tower,"Rowena, South Dakota, US",Guyed mast,,,
1969,FM-/TV-Mast of Marnach transmitter,"Marnach, Luxembourg",Guyed mast,,,
1969,Emley Moor TV mast collapse,"Emley, West Yorkshire, UK",Guyed mast,,,
