url,group_index,table_no,desc,notes
https://en.wikipedia.org/wiki/List_of_wars_by_death_toll,1,10,Modern wars by death toll,
https://en.wikipedia.org/wiki/Timeline_of_international_climate_politics,2,,,unclear definition
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(2000%E2%80%93present),3,2,Geopolitical changes - 2000s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(2000%E2%80%93present),3,3,Geopolitical changes - 2000s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(2000%E2%80%93present),3,4,Geopolitical changes - 2000s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(1900%E2%80%931999),4,2,Geopolitical changes - 1900s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(1900%E2%80%931999),4,3,Geopolitical changes - 1900s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(1900%E2%80%931999),4,4,Geopolitical changes - 1900s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(1900%E2%80%931999),4,5,Geopolitical changes - 1900s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(1900%E2%80%931999),4,6,Geopolitical changes - 1900s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(1900%E2%80%931999),4,7,Geopolitical changes - 1900s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(1900%E2%80%931999),4,8,Geopolitical changes - 1900s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(1900%E2%80%931999),4,9,Geopolitical changes - 1900s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(1900%E2%80%931999),4,10,Geopolitical changes - 1900s,
https://en.wikipedia.org/wiki/Timeline_of_geopolitical_changes_(1900%E2%80%931999),4,11,Geopolitical changes - 1900s,
https://en.wikipedia.org/wiki/List_of_oil_spills,5,2,Oil spills,
https://en.wikipedia.org/wiki/List_of_nuclear_weapons_tests,6,,Nuclear weapons tests,formatted as list
https://en.wikipedia.org/wiki/List_of_modern_conflicts_in_the_Middle_East,7,2,Modern conflicts in the Middle East,
https://en.wikipedia.org/wiki/List_of_events_named_massacres,8,5,Massacres,
https://en.wikipedia.org/wiki/List_of_events_named_massacres,8,6,Massacres,Split pre-post 1945
https://en.wikipedia.org/wiki/Land_reforms_by_country,9,,Land reforms,formatted as list
