Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G86,Targeted Mass Killings,Afghan Conflict - Afghanistan,"Actors: Government of Afghanistan, Hezb-I Wahdat, Ittihad-I Islami, Jamiat-I Islami, UIFSA; Targeted groups: Hazara, Uzbek, Pashtun civilians, Hazara civilians, Supporters of the Taliban",1992,2001,14067,"Butcher, Charles, Benjamin E. Goldsmith, Sascha Nanlohy, Arcot Sowmya, and David Muchlinski. 2020. “Introducing the Targeted Mass Killing Dataset for the Study and Forecasting of Mass Atrocities,” Journal of Conflict Resolution [in press]",2023-07-04
G86,Targeted Mass Killings,Aftermath Of Rwandan Genocide - DR Congo (Zaire),"Actors: Interahamwe, MAGRIVI; Targeted groups: Tutsi and Bahunde people",1996,1996,984,"Butcher, Charles, Benjamin E. Goldsmith, Sascha Nanlohy, Arcot Sowmya, and David Muchlinski. 2020. “Introducing the Targeted Mass Killing Dataset for the Study and Forecasting of Mass Atrocities,” Journal of Conflict Resolution [in press]",2023-07-04
G86,Targeted Mass Killings,Algerian Independence Harki/European Massacres - Algeria,"Actors: FLN; Targeted groups: Harki, Europeans",1962,1962,32788,"Butcher, Charles, Benjamin E. Goldsmith, Sascha Nanlohy, Arcot Sowmya, and David Muchlinski. 2020. “Introducing the Targeted Mass Killing Dataset for the Study and Forecasting of Mass Atrocities,” Journal of Conflict Resolution [in press]",2023-07-04
G86,Targeted Mass Killings,All Saints Massacre - Angola,Actors: Government of Angola; Targeted groups: Ovimbundu/UNITA Supporters,1992,1992,1200,"Butcher, Charles, Benjamin E. Goldsmith, Sascha Nanlohy, Arcot Sowmya, and David Muchlinski. 2020. “Introducing the Targeted Mass Killing Dataset for the Study and Forecasting of Mass Atrocities,” Journal of Conflict Resolution [in press]",2023-07-04
G86,Targeted Mass Killings,Amin Repression - Uganda,"Actors: Government of Uganda; Targeted groups: Acholi, Langi, Political opponents of Amin",1971,1979,45000,"Butcher, Charles, Benjamin E. Goldsmith, Sascha Nanlohy, Arcot Sowmya, and David Muchlinski. 2020. “Introducing the Targeted Mass Killing Dataset for the Study and Forecasting of Mass Atrocities,” Journal of Conflict Resolution [in press]",2023-07-04
G86,Targeted Mass Killings,Andijan Massacre - Uzebekistan,Actors: Government of Uzebekistan; Targeted groups: Opposition supporters,2005,2005,1000,"Butcher, Charles, Benjamin E. Goldsmith, Sascha Nanlohy, Arcot Sowmya, and David Muchlinski. 2020. “Introducing the Targeted Mass Killing Dataset for the Study and Forecasting of Mass Atrocities,” Journal of Conflict Resolution [in press]",2023-07-04
G86,Targeted Mass Killings,Anti-Government Protests - Mali,Actors: Government of Mali; Targeted groups: Anti Traor«∏/Government Protestors,1991,1991,204,"Butcher, Charles, Benjamin E. Goldsmith, Sascha Nanlohy, Arcot Sowmya, and David Muchlinski. 2020. “Introducing the Targeted Mass Killing Dataset for the Study and Forecasting of Mass Atrocities,” Journal of Conflict Resolution [in press]",2023-07-04
G86,Targeted Mass Killings,Anti-Muslim Riots - India,"Actors: Ahmedabad police force, BJS/RSS, Hindu activists/ABVP, Hindu Dharma Raksha Samiti, RSS, RSS/Hindu Nationalists, Shiv Sena, Utter Pradesh PAC; Targeted groups: Muslims",1961,1987,5220,"Butcher, Charles, Benjamin E. Goldsmith, Sascha Nanlohy, Arcot Sowmya, and David Muchlinski. 2020. “Introducing the Targeted Mass Killing Dataset for the Study and Forecasting of Mass Atrocities,” Journal of Conflict Resolution [in press]",2023-07-04
G86,Targeted Mass Killings,Anti-Sikh Pogroms - India,Actors: Government of India; Targeted groups: Sikhs,1984,1984,2987,"Butcher, Charles, Benjamin E. Goldsmith, Sascha Nanlohy, Arcot Sowmya, and David Muchlinski. 2020. “Introducing the Targeted Mass Killing Dataset for the Study and Forecasting of Mass Atrocities,” Journal of Conflict Resolution [in press]",2023-07-04
G86,Targeted Mass Killings,Argentine Dirty War - Argentina,Actors: Government of Argentina; Targeted groups: Leftists,1976,1983,30000,"Butcher, Charles, Benjamin E. Goldsmith, Sascha Nanlohy, Arcot Sowmya, and David Muchlinski. 2020. “Introducing the Targeted Mass Killing Dataset for the Study and Forecasting of Mass Atrocities,” Journal of Conflict Resolution [in press]",2023-07-04
