Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G82,International refugee population,# of Refugees in 1951,# of Refugees in 1951,1951-01-01,1951-12-31,2116011,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1952,# of Refugees in 1952,1952-01-01,1952-12-31,1952928,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1953,# of Refugees in 1953,1953-01-01,1953-12-31,1847304,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1954,# of Refugees in 1954,1954-01-01,1954-12-31,1749628,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1955,# of Refugees in 1955,1955-01-01,1955-12-31,1717966,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1956,# of Refugees in 1956,1956-01-01,1956-12-31,1767975,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1957,# of Refugees in 1957,1957-01-01,1957-12-31,1742514,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1958,# of Refugees in 1958,1958-01-01,1958-12-31,1698310,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1959,# of Refugees in 1959,1959-01-01,1959-12-31,1674185,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1960,# of Refugees in 1960,1960-01-01,1960-12-31,1656664,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1961,# of Refugees in 1961,1961-01-01,1961-12-31,1789067,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1962,# of Refugees in 1962,1962-01-01,1962-12-31,1765622,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1963,# of Refugees in 1963,1963-01-01,1963-12-31,1682403,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1964,# of Refugees in 1964,1964-01-01,1964-12-31,3079949,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1965,# of Refugees in 1965,1965-01-01,1965-12-31,3531615,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1966,# of Refugees in 1966,1966-01-01,1966-12-31,3501013,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1967,# of Refugees in 1967,1967-01-01,1967-12-31,2356991,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1968,# of Refugees in 1968,1968-01-01,1968-12-31,2463736,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1969,# of Refugees in 1969,1969-01-01,1969-12-31,2531177,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1970,# of Refugees in 1970,1970-01-01,1970-12-31,2464730,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1971,# of Refugees in 1971,1971-01-01,1971-12-31,3279710,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1972,# of Refugees in 1972,1972-01-01,1972-12-31,3251850,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1973,# of Refugees in 1973,1973-01-01,1973-12-31,2901335,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1974,# of Refugees in 1974,1974-01-01,1974-12-31,2994463,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1975,# of Refugees in 1975,1975-01-01,1975-12-31,3529434,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1976,# of Refugees in 1976,1976-01-01,1976-12-31,4270631,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1977,# of Refugees in 1977,1977-01-01,1977-12-31,4518659,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1978,# of Refugees in 1978,1978-01-01,1978-12-31,5065844,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1979,# of Refugees in 1979,1979-01-01,1979-12-31,6279912,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1980,# of Refugees in 1980,1980-01-01,1980-12-31,8454917,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1981,# of Refugees in 1981,1981-01-01,1981-12-31,9714297,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1982,# of Refugees in 1982,1982-01-01,1982-12-31,10319353,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
G82,International refugee population,# of Refugees in 1983,# of Refugees in 1983,1983-01-01,1983-12-31,10620784,UNHCR. Refugee Data Finder. https://www.unhcr.org/refugee-statistics/download/,2023-07-02
