Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G65,Nonstate wars,First Maori Tribal War,"Non-state war in nonstate territory: Te Rauparaha's Ngati Toa vs. Taranaki, Ngai Tahu, Waikato, Ngati Ira, Rangitikei",1818,1824,7500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Shaka Zulu-Bantu War,Non-state war in nonstate territory: Shaka Zulu vs. Bantu,1819,1828,60000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Burma-Assam War,Non-state war in nonstate territory: Burma vs. Assam,1819,1822,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Buenos Aires War,Non-state war in nonstate territory: Buenos Aires vs. Provinces,1820,1820,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Second Maori Tribal War,"Non-state war in nonstate territory: Hongi Hika's Nga Phuhi vs. Ngati Paoa, Ngati Maru, Waikato River Maori, Te Arawa",1821,1823,2500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Siam-Kedah War,Non-state war in nonstate territory: Thailand vs. Kedah,1821,1821,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,China-Kashgaria War,Non-state war in nonstate territory: China vs. Muslim rebels,1825,1828,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Mexico-Yaqui Indian War,Non-state war in nonstate territory: Mexico vs. Yaqui Indians,1825,1827,3000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Central American Confederation War,Non-state war in nonstate territory: Conservative Confederation vs. Liberals,1826,1829,3300,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Viang Chan- Siamese War,Non-state war in nonstate territory: Viang Chan vs. Siam,1826,1827,31000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Peru-Gran Colombia War,Non-state war in nonstate territory: Peru vs. Gran Colombia,1828,1829,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Argentine War for Unity,Non-state war in nonstate territory: Unitarians vs. Provinces,1829,1831,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Sayyid Said War,Non-state war in nonstate territory: Sayyid Said vs. Mombasa,1829,1830,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,China-Kokand War,Non-state war in nonstate territory: China vs. Kokand,1830,1831,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Siam-Cambodia-Vietnam War,"Non-state war in nonstate territory: Thailand vs. Cambodia, Vietnam",1831,1834,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Argentina-Ranqueles Indian War,Non-state war in nonstate territory: Argentina vs. Ranqueles Indians,1833,1834,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Bolivia Conquest of Peru,Non-state war in nonstate territory: Bolivia vs. Peru,1835,1836,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Boer-Matabele War,Non-state war in nonstate territory: Boer Trekkers vs. Matabele,1836,1837,3350,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Dissolution of the Bolivia-Peru Confederation,"Non-state war in nonstate territory: Chile, Argentina vs. Peru-Bolivia Confederation",1837,1839,2900,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Persian Siege of Heart,Non-state war in nonstate territory: Persia vs. Herat,1837,1838,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Boer-Zulu War,Non-state war in nonstate territory: Boer Trekkers vs. Zulu,1838,1838,3700,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Anti-Rosas War,Non-state war in nonstate territory: Anti-Rosas Allies vs. Rosas Federalist Army,1839,1840,3000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,Nonstate wars,Dissolution of  the Central American Confederation,Non-state war in nonstate territory: Conservatives vs. Liberals,1839,1840,3700,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
