Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G65,State-nonstate wars,Allied Bombardment of Algiers,"State vs. nonstate: Netherlands, United Kingdom vs. Algeria",1816,1816,142,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Ottoman-Wahhabi,State vs. nonstate: Ottoman Empire vs. Saudi Wahhabis,1816,1818,13500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Ottoman Conquest of Sudan,State vs. nonstate: Ottoman Empire vs. Sudan states,1820,1821,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Turco-Persian,State vs. nonstate: Ottoman Empire vs. Persia,1821,1822,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,First British-Burmese,State vs. nonstate: United Kingdom vs. Burma,1823,1826,15000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,First British-Ashanti,State vs. nonstate: United Kingdom vs. Ashanti-Ghana,1824,1826,1400,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Brazil-Argentine,State vs. nonstate: Brazil vs. Argentina,1826,1828,4000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Russo-Persian,State vs. nonstate: Russia vs. Persia,1826,1828,5000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Spanish Reconquest of Mexico,State vs. nonstate: Spain vs. Mexico,1829,1829,1700,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,French Occupation of Algiers,State vs. nonstate: France vs. Algeria,1830,1830,600,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Ottoman-Bilmez-Asiri War,State vs. nonstate: Ottoman Empire vs. Bilmez-Asiri,1832,1837,,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,First British-Zulu,State vs. nonstate: United Kingdom vs. Zulu tribe,1838,1838,800,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,First British-Afghan,State vs. nonstate: United Kingdom vs. Afghanistan,1839,1842,20000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,First Opium,State vs. nonstate: United Kingdom vs. China,1839,1842,450,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,First Franco-Algerian,State vs. nonstate: France vs. Algerian forces,1839,1847,15000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Peru-Bolivian,State vs. nonstate: Peru vs. Bolivia,1841,1841,600,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,British-Sind,State vs. nonstate: United Kingdom vs. Sind,1843,1843,200,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Uruguay War,"State vs. nonstate: Argentina vs. Uruguay, United Kingdom, France",1843,1849,2500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Gwalior,State vs. nonstate: United Kingdom vs. Gwalior,1843,1843,106,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Franco-Moroccan,State vs. nonstate: France vs. Morocco,1844,1844,200,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,First British-Sikh,State vs. nonstate: United Kingdom vs. Sikhs,1845,1846,1500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G65,State-nonstate wars,Cracow Revolt,"State vs. nonstate: Russia, Prussia, Austria vs. Cracow",1846,1846,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
