Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G14,Crowd crushes,"Shiloh Baptist Church stampede - Birmingham, Alabama, United States",Crush following a false fire alarm at a convention featuring Booker T. Washington.,1902-09-19,1902-09-19,115,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Iroquois Theatre fire - Chicago, United States",Most deaths caused by crush asphyxiation in the rush to escape.,1903-12-30,1903-12-30,602,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Barnsley Public Hall disaster - Barnsley, England, United Kingdom","Children attempting to view a show were crushed on the stairs when the hall became overcrowded, resulting in the deaths of 16 children.",1908-01-11,1908-01-11,16,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Collinwood school fire - Collinwood, Ohio, United States","One rescue worker, two teachers, and 172 children between the ages of five and fifteen were killed. Most of the children were killed in a stairwell when some were trying to escape down the stairs while others, who had found escape impossible that way, were trying to flee up the stairs.",1908-03-04,1908-03-04,175,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Italian Hall disaster - Calumet, Michigan, United States","The event is considered the source for the often-cited legal limit of protected speech, i.e., that one may not falsely shout ""Fire!"" in a crowded theater.",1913-12-24,1913-12-24,73,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Bolivar crowd crush [fr] - , Paris, France","Following a bomb attack during World War I, Parisians tried to enter the Bolivar metro station, but the gates down the stairs only opened to the outside. The first rows of the crowd were crushed or suffocated by those behind them.",1918-03-11,1918-03-11,65,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Glen Cinema disaster - Paisley, Scotland, United Kingdom",Caused by a smoking film canister. The resulting panic and crush initially killed 69 children and injured 40; two others later succumbed.,1929-12-31,1929-12-31,71,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Kyoto Railroad Station tragedy - Kyoto, Japan","A crowd of about 10,000 saying farewell to 750 recruits of the Imperial Japanese Navy collapsed at the bottom of a stairway from a viaduct leading over the tracks down to the platform. The number far exceeded the station's capacity.",1934-01-08,1934-01-08,76,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Chongqing tunnel massacre [zh] - Chongqing, China","Thousands rushed to the Shiba Ti Tunnel bomb shelter during the Japanese Bombing of Chongqing in the Second Sino-Japanese War and were locked from the outside. Crowding and lack of oxygen caused a stampede to get out, crushing many.",1941-06-05,1941-06-05,461,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Unnamed - Genoa, Italy","Crowd crush during an attack by the RAF Bomber Command in World War II as they made their way into Galleria delle Grazie, a railway tunnel used as an air-raid shelter. Rushing down the 150 steps leading underground into the shelter, people fell on top of one another.",1942-10-23,1942-10-23,354,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Bethnal Green tube station disaster - London, United Kingdom","People were entering the station during an air-raid alert during World War II, and a woman holding a child lost her footing and fell down the stairs, leading to the crowd falling around her in a crush.",1943-03-03,1943-03-03,173,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Hartford circus fire - Hartford, Connecticut, United States","A fire broke out at a performance of the Ringling Brothers and Barnum & Bailey Circus. Many died after being trampled by other spectators, with some asphyxiating underneath the piles of people who fell over each other. Most of the dead were found in piles, some three bodies deep, at the most congested exits. A small number of people were found alive at the bottoms of these piles, protected by the bodies on top of them when the burning big top ultimately fell down.",1944-07-06,1944-07-06,168,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Burnden Park disaster - Bolton, England, United Kingdom","At an FA Cup Quarter-final between Bolton Wanderers and Stoke City, the collapse of two crash barriers in an overcrowded stand led to the crowd falling forward upon each other.",1946-03-09,1946-03-09,33,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Santa Teresa Church tragedy [es] - Caracas, Venezuela","Occurred when someone shouted ""Fire!"" in the Basilica of St. Teresa. 40 people were arrested in connection with the crush. Two men who were arrested on the day of the crush were released. The panic started when an elderly devotee brushed against the veil which was holding candles in the head, making a small fire that alarmed those responsible for the panic.",1952-04-09,1952-04-09,53,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Stalin funeral crush - Moscow, Soviet Union",A crush in Trubnaya Square during the state funeral of Joseph Stalin.,1953-03-09,1953-03-09,109,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"1954 Prayag Kumbh Mela stampede - Allahabad, India","A surging crowd broke through the barriers separating them from a procession of sadhus and holy men of various akharas, resulting in a crush.",1954-02-03,1954-02-03,650,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Unnamed - Yahiko, Niigata, Japan",New Year panic and crush at the Yahiko Shinto shrine.,1956-01-01,1956-01-01,124,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Busan Stadium crush - Busan, South Korea","Heavy rain forced spectators to rush towards the upper sections of the municipal stadium, leading to the crush.",1959-06-17,1959-06-17,67,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Seoul Station crush - Seoul, South Korea","Occurred two days before the Lunar New Year when many people were returning to their hometowns. About 3,900 people, more than three times the average crowd, flocked to the ticket gate, where 200 tickets were sold for a train with a capacity of 80 people.",1960-01-26,1960-01-26,31,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
G14,Crowd crushes,"Estadio Nacional disaster - Lima, Peru","In the worst disaster in association football history, fans disputing a referee's decision during a match between Peru and Argentina began a pitch invasion and police fired tear gas canisters into one of the grandstands to prevent more fans from invading the field, causing panic so that departing spectators moved down the enclosed stairways, pressing those in the lead against solid corrugated steel shutters at the bottom of tunnels, which were closed. The shutters finally burst outward from pressure of the crush of bodies inside. All of those that died were killed in the jammed stairwells, most from internal haemorrhaging by crushing pressure, or by asphyxia. An additional 500 people were injured, many critically.",1964-05-24,1964-05-24,328,https://en.wikipedia.org/wiki/List_of_fatal_crowd_crushes,2023-05-22
