Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G87,Large Solar Flares,X-class solar flare on 1976-03-23,X-class solar flare on 1976-03-23,1976-03-23,1976-03-23,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1976-03-28,X-class solar flare on 1976-03-28,1976-03-28,1976-03-28,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1976-04-30,X-class solar flare on 1976-04-30,1976-04-30,1976-04-30,0.2,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1977-09-07,X-class solar flare on 1977-09-07,1977-09-07,1977-09-07,0.2,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1977-09-09,X-class solar flare on 1977-09-09,1977-09-09,1977-09-09,0.2,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1977-09-19,X-class solar flare on 1977-09-19,1977-09-19,1977-09-19,0.2,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1977-10-12,X-class solar flare on 1977-10-12,1977-10-12,1977-10-12,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1977-11-22,X-class solar flare on 1977-11-22,1977-11-22,1977-11-22,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-01-08,X-class solar flare on 1978-01-08,1978-01-08,1978-01-08,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-04-08,X-class solar flare on 1978-04-08,1978-04-08,1978-04-08,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-04-11,X-class solar flare on 1978-04-11,1978-04-11,1978-04-11,0.2,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-04-28,X-class solar flare on 1978-04-28,1978-04-28,1978-04-28,0.5,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-04-29,X-class solar flare on 1978-04-29,1978-04-29,1978-04-29,0.3,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-04-30,X-class solar flare on 1978-04-30,1978-04-30,1978-04-30,0.2,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-05-07,X-class solar flare on 1978-05-07,1978-05-07,1978-05-07,0.2,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-05-28,X-class solar flare on 1978-05-28,1978-05-28,1978-05-28,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-07-09,X-class solar flare on 1978-07-09,1978-07-09,1978-07-09,0.3,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-07-10,X-class solar flare on 1978-07-10,1978-07-10,1978-07-10,0.3,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-07-11,X-class solar flare on 1978-07-11,1978-07-11,1978-07-11,1.5,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-07-11,X-class solar flare on 1978-07-11,1978-07-11,1978-07-11,0.2,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-09-23,X-class solar flare on 1978-09-23,1978-09-23,1978-09-23,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-12-11,X-class solar flare on 1978-12-11,1978-12-11,1978-12-11,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-12-12,X-class solar flare on 1978-12-12,1978-12-12,1978-12-12,0.2,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-12-12,X-class solar flare on 1978-12-12,1978-12-12,1978-12-12,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-12-12,X-class solar flare on 1978-12-12,1978-12-12,1978-12-12,0.2,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-12-13,X-class solar flare on 1978-12-13,1978-12-13,1978-12-13,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-12-14,X-class solar flare on 1978-12-14,1978-12-14,1978-12-14,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1978-12-27,X-class solar flare on 1978-12-27,1978-12-27,1978-12-27,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
G87,Large Solar Flares,X-class solar flare on 1979-01-13,X-class solar flare on 1979-01-13,1979-01-13,1979-01-13,0.1,NOAA. Solar X-Ray Flares from the GOES Satellite. https://www.ngdc.noaa.gov/stp/space-weather/solar-data/solar-features/solar-flares/x-rays/goes/. Accessed 8 July 2023.,2023-07-08
