Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G76,List of deadly floods,1975 Banqiao Dam failure and floods,"Year: 1975; Location: China; Deaths: 229,000",1975-01-01,1975-01-01,229000,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,1974 Bangladesh flood due to monsoon rain,"Year: 1974; Location: Bangladesh; Deaths: 28,700",1974-01-01,1974-01-01,28700,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,1999 Vargas mudslide,"Year: 1999; Location: Venezuela; Deaths: 20,000",1999-01-01,1999-01-01,20000,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"Sichuan, Hubei, Anhui flood","Year: 1980; Location: China; Deaths: 6,200",1980-01-01,1980-01-01,6200,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,2013 North India floods,"Year: 2013; Location: India; Deaths: 6,054",2013-01-01,2013-01-01,6054,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,1963 Great Hai River flood,"Year: 1963; Location: China; Deaths: 5,154 (official)[citation needed]",1963-01-01,1963-01-01,5154,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"1968 Rajasthan, Gujarat monsoon rain","Year: 1968; Location: India; Deaths: 4,892",1968-01-01,1968-01-01,4892,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"1998 Eastern India, Bangladesh monsoon rain","Year: 1998; Location: India, Bangladesh; Deaths: 3,838",1998-01-01,1998-01-01,3838,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,1989 Sichuan flood,"Year: 1989; Location: China; Deaths: 3,814",1989-01-01,1989-01-01,3814,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,1978 Northern India monsoon rain,"Year: 1978; Location: India; Deaths: 3,800",1978-01-01,1978-01-01,3800,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,1998 Yangtze river flood,"Year: 1998; Location: China; Deaths: 3,656",1998-01-01,1998-01-01,3656,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"2010 China floods, landslides","Year: 2010; Location: China, North Korea; Deaths: 3,189+",2010-01-01,2010-01-01,3189,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,1993 South Asian monsoon rain,"Year: 1993; Location: Nepal, India, Bangladesh, Pakistan; Deaths: 3,084",1993-01-01,1993-01-01,3084,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"2004 Eastern India, Bangladesh monsoon rain","Year: 2004; Location: India, Bangladesh; Deaths: 3,076",2004-01-01,2004-01-01,3076,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"1992 Afghanistan flood, mainly, Gulbahar, Kalotak, Shutul, Parwan, flash flood, mudslide","Year: 1992; Location: Afghanistan; Deaths: 3,000",1992-01-01,1992-01-01,3000,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,2011 Southeast Asian floods,"Year: 2011; Location: Philippines, Thailand, Cambodia, Myanmar, Vietnam, Laos, Malaysia; Deaths: 2,828",2011-01-01,2011-01-01,2828,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"1996 China flood, torrential floods, mud-rock flows","Year: 1996; Location: China; Deaths: 2,775",1996-01-01,1996-01-01,2775,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"North Sea flood, storm surge","Year: 838; Location: Netherlands; Deaths: 2,400",0838-01-01,0838-01-01,2400,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,2016 Indian floods by monsoon rain,"Year: 2016; Location: India; Deaths: 1,000-8,000",2016-01-01,2016-01-01,4500,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,1988 Bangladesh monsoon rain,"Year: 1988; Location: Bangladesh; Deaths: 2,379",1988-01-01,1988-01-01,2379,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"1981 Sichuan, Shanxi flood","Year: 1981; Location: China; Deaths: 2,075",1981-01-01,1981-01-01,2075,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,1987 Bangladesh monsoon rain,"Year: 1987; Location: Bangladesh; Deaths: 2,055",1987-01-01,1987-01-01,2055,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,Morvi dam burst,"Year: 1979; Location: India (Morvi, Gujarat); Deaths: 2,000-5,0001",1979-01-01,1979-01-01,26000.5,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,May 2004 Caribbean floods,"Year: 2004; Location: Haiti, Dominican Republic, Puerto Rico, Jamaica, Cuba, Bahamas, Turks and Caicos Islands; Deaths: 2,000+",2004-01-01,2004-01-01,2000,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,Vajont Dam landslide and flood,"Year: 1963; Location: Italy; Deaths: 1,921",1963-01-01,1963-01-01,1921,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"1992 Pakistan, Northern India monsoon rain","Year: 1992; Location: Pakistan, India; Deaths: 1,834",1992-01-01,1992-01-01,1834,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,2022 Pakistan floods,"Year: 2022; Location: Pakistan; Deaths: 1,739",2022-01-01,2022-01-01,1739,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"1991 China flood, mainly, Sichuan, Guizhou, Hubei, torrential floods, mud-rock flows","Year: 1991; Location: China; Deaths: 1,723",1991-01-01,1991-01-01,1723,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"Fujian, Anhui, Zhejiang flood","Year: 2005; Location: China; Deaths: 1,624",2005-01-01,2005-01-01,1624,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,spring flooding,"Year: 2004; Location: Haiti, Dominican Republic; Deaths: 1,605-3,363",2004-01-01,2004-01-01,2484,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"Pakistan floods, monsoon flooding","Year: 2010; Location: Pakistan; Deaths: 1600-2,000",2010-01-01,2010-01-01,1800,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"2002 China flood, torrential floods, mud-rock flows","Year: 2002; Location: China; Deaths: 1,532",2002-01-01,2002-01-01,1532,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"Mumbai and the surrounding state Maharashtra, Karnataka, monsoon rain in 2005","Year: 2005; Location: India; Deaths: 1,503",2005-01-01,2005-01-01,1503,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"1995 China flood, mainly, Hunan, Jiangxi, Liaoning, Sichuan, Fujian, torrential rain, devastating floods, mud-rock flows","Year: 1995; Location: China; Deaths: 1,437",1995-01-01,1995-01-01,1437,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
G76,List of deadly floods,"2007 China flood, mountain torrents, mud-rock flows","Year: 2007; Location: China; Deaths: 1,348",2007-01-01,2007-01-01,1348,https://en.wikipedia.org/wiki/List_of_deadliest_floods,2023-07-15
