Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G13,FDA Veterinary Recalls,Event ID #70877 - Class I - Veterinary - 5Cs Drying LLC,The firm was notified by their customer that the product test positive for Salmonella.,2016-01-22,2016-01-22,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #73116 - Class II - Veterinary - Abbott's Compounding Pharmacy, Inc.",Firm is recalling all unexpired lots of sterile compounded products after FDA inspection found concerns of lack of sterility assurance.,2016-08-17,2016-08-17,3,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,Event ID #64757 - Class III - Veterinary - Abbott Animal Health,Canadian labeled Isoflurane was shipped to US customers.,2013-05-21,2013-05-21,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,Event ID #67091 - Class II - Veterinary - Abbott Laboratories,Abbott Animal Health is voluntarily recalling the ten lots of OroCAM (meloxicam) Transmucosal Oral Spray for Dogs due to the possibility that some animals could receive an incorrect dose during administration. A limited number of units from lots FEBU-2 and FEBU-3 were found to contain incorrect pumps.,2014-01-24,2014-01-24,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,Event ID #67113 - Class II - Veterinary - Abbott Laboratories,Some particles were observed in a limited number of OroCAM units. The particles if present could clog the pump mechanism and could also potentially result in under-administration.,2014-02-10,2014-02-10,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,Event ID #76608 - Class I - Veterinary - Absolute Veterinary Compounding Pharmacy,Incorrect medication dispensed for compounding/compounded veterinary products.,2017-05-01,2017-05-01,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,Event ID #75116 - Class II - Veterinary - Addiction Foods Llc,"New Zealand Venison & Apple Canned Dog Food are recalled due to  elevated levels of Vitamin A and slight variance in calcium and phosphorous ratios., New Zealand Brushtail & Vegetables Entr¿e, Canned Dog Food, are recalled due to  elevated levels of Vitamin A and slight variance in calcium and phosphorous ratios.",2016-09-28,2016-09-28,2,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #84786 - Class III - Veterinary - Adisseo Usa, Inc.","The firm was notified by their manufacturer that the product contains Sepiolite  hydrous magnesium silicate , an unapproved ingredient for animal feed sold in the US instead of HSCAS.",2020-03-18,2020-03-18,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #63989 - Class III - Veterinary - ADM Alliance Nutrition, Inc.","During an FDA inspection, the ADM Alliance Nutrition Meat Goat Power 16% (80865AZN), was run through the firm's mixer directly after lot # BF23512 of the recalled sheep feed.  The Retention sample was found to have 46.4 ppm copper when the label states 25ppm-35ppm.
",2013-02-25,2013-02-25,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #63968 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","ADM Alliance Nutrition of Bluffton, IN initiated a recall on 12/19/12 for 3 lots of MoorMans¿ ShowTec 18 Elite Lamb DC sold in 50 lb bags.  The recall was initiated in response to a customer complaint stating that 2 of the customers sheep had died of copper toxicosis after consuming MoorMan's¿ ShowTec 18 Elite Lamb DC.",2013-05-16,2013-05-16,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #70843 - Class III - Veterinary - ADM Alliance Nutrition, Inc.",Product may contain elevated levels of chlortetracycline and sulfamethazine.,2015-09-17,2015-09-17,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #73740 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","ADM Animal Nutrition, Inc. is voluntarily recalling 48,500 pounds of Tyson Swine N5 medicated animal feed, Product G3039AWO10, due to excessive levels of magnesium; which could result in magnesium toxicity causing symptoms of increased water intake, severe, painful scours, and cardiac arrest leading to death in swine.",2016-09-30,2016-09-30,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #77337 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","ADM Animal Nutrition, a division of Archer Daniels Midland Company, initiated a voluntary recall of 81071AZYE4 21% Lamb Creep HE DC, Lamb Starter Feed, 50 pound poly bags, due to higher than expected levels of copper, which could lead to copper toxicity in sheep.",2017-10-13,2017-10-13,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #77619 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","ADM Animal Nutrition, a division of Archer Daniels Midland Company, initiated a voluntary recall on 06/16/2017, of  ADM Animal Nutrition Starting and Growing Cattle Feed 54783BHB24 Rough-N-Ready"" 14 BT, 50 lb. bags, due to elevated levels of monensin in the feed, which could result in cardiovascular illness or death to cattle. The monensin contamination came from a medicated article that contained 10,000 g/ton of monensin, which was inadvertently added in with the Rough-N-Ready cattle feed.",2018-02-26,2018-02-26,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #77858 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","ADM Animal Nutrition, a division of Archer Daniels Midland Company, initiated a voluntary recall of ADM Animal Nutrition 54783BHB24 Rough-N-Read 14 BT, Starting and Growing Cattle Feed, 50 pound bags, on June 16, 2017, because the feed contained monensin, which can be toxic to cattle at elevated levels and cause cardiovascular issues and possibly death.",2018-02-26,2018-02-26,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #80605 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","product may contain elevated levels of non-protein nitrogen, could harm cattle",2019-10-05,2019-10-05,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #81573 - Class I - Veterinary - ADM Alliance Nutrition, Inc.","Feeds may contain incorrect amounts or types of micro ingredients, including drug ingredients. Some feeds contain unlabeled drugs which when fed in the labeled manner could cause serious health consequences in animals.",2019-10-17,2019-10-17,102,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #82128 - Class I - Veterinary - ADM Alliance Nutrition, Inc.",Elevated levels of non-protein nitrogen (NPN).,2019-10-17,2019-10-17,35,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,"Event ID #83973 - Class I - Veterinary - ADM Alliance Nutrition, Inc.",High levels of copper,2019-11-12,2019-11-12,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G13,FDA Veterinary Recalls,Event ID #69284 - Class II - Veterinary - Aerogen Ltd.,"Aerogen has received a small number of complaints in relation to the main power adapter manufactured by
FRIWO GmbH and used in the Aeroneb Solo and Pro Nebuliser systems. The complaints received identified
that the power adapter cover had broken and dislodged from the body of the adapter prior to use.",2014-10-10,2014-10-10,4,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
