Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G1,List of UN Member States,1964,Number of UN member states in 1964,1964-01-01,1964-12-31,115,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1965,Number of UN member states in 1965,1965-01-01,1965-12-31,117,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1966,Number of UN member states in 1966,1966-01-01,1966-12-31,122,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1967,Number of UN member states in 1967,1967-01-01,1967-12-31,123,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1968,Number of UN member states in 1968,1968-01-01,1968-12-31,126,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1969,Number of UN member states in 1969,1969-01-01,1969-12-31,126,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1970,Number of UN member states in 1970,1970-01-01,1970-12-31,127,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1971,Number of UN member states in 1971,1971-01-01,1971-12-31,132,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1972,Number of UN member states in 1972,1972-01-01,1972-12-31,132,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1973,Number of UN member states in 1973,1973-01-01,1973-12-31,135,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1974,Number of UN member states in 1974,1974-01-01,1974-12-31,138,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1975,Number of UN member states in 1975,1975-01-01,1975-12-31,144,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1976,Number of UN member states in 1976,1976-01-01,1976-12-31,147,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1977,Number of UN member states in 1977,1977-01-01,1977-12-31,149,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1978,Number of UN member states in 1978,1978-01-01,1978-12-31,151,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1979,Number of UN member states in 1979,1979-01-01,1979-12-31,152,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1980,Number of UN member states in 1980,1980-01-01,1980-12-31,154,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1981,Number of UN member states in 1981,1981-01-01,1981-12-31,157,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1982,Number of UN member states in 1982,1982-01-01,1982-12-31,157,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1983,Number of UN member states in 1983,1983-01-01,1983-12-31,158,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1984,Number of UN member states in 1984,1984-01-01,1984-12-31,159,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1985,Number of UN member states in 1985,1985-01-01,1985-12-31,159,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1986,Number of UN member states in 1986,1986-01-01,1986-12-31,159,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
G1,List of UN Member States,1987,Number of UN member states in 1987,1987-01-01,1987-12-31,159,https://www.un.org/en/about-us/growth-in-un-membership,2022-02-26
