Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G81,Coup attempts,Cuba 1952-03-10,Successful coup in Cuba,1952-03-10,1952-03-10,1,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Cuba 1957-09-05,Unsuccessful coup in Cuba,1957-09-05,1957-09-05,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1950-05-10,Successful coup in Haiti,1950-05-10,1950-05-10,1,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1957-04-02,Successful coup in Haiti,1957-04-02,1957-04-02,1,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1957-05-21,Successful coup in Haiti,1957-05-21,1957-05-21,1,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1957-06-14,Successful coup in Haiti,1957-06-14,1957-06-14,1,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1970-04-24,Unsuccessful coup in Haiti,1970-04-24,1970-04-24,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1986-02-07,Successful coup in Haiti,1986-02-07,1986-02-07,1,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1988-06-20,Successful coup in Haiti,1988-06-20,1988-06-20,1,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1988-09-18,Successful coup in Haiti,1988-09-18,1988-09-18,1,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1989-04-02,Unsuccessful coup in Haiti,1989-04-02,1989-04-02,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1989-04-05,Unsuccessful coup in Haiti,1989-04-05,1989-04-05,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1991-01-07,Unsuccessful coup in Haiti,1991-01-07,1991-01-07,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Haiti 1991-09-30,Successful coup in Haiti,1991-09-30,1991-09-30,1,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
G81,Coup attempts,Dominican Republic 1962-01-16,Unsuccessful coup in Dominican Republic,1962-01-16,1962-01-16,0,"Powell, Jonathan M., and Clayton L. Thyne. “Global Instances of Coups from 1950 to 2010: A New Dataset.” Journal of Peace Research, vol. 48, no. 2, Mar. 2011, pp. 249–59. DOI.org (Crossref), https://doi.org/10.1177/0022343310397436.",2023-06-24
