Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G10,FDA Drug and Biologic Recalls,Event ID #91089 - Class II - Biologics - 3M Company - Health Care Business,"3M is recalling their 2022 3M"" Ranger"" Blood/Fluid Warming Sets (Cat. Nos. 24355 and 24370) due to cold welds in the auto-venting bubble trap component could lead to leaking of the sets during use. Leaking sets during use could lead to an inability to deliver therapy to the patient per intended use. They also could expose the healthcare worker to blood, blood products, and IV fluids during a leak event.",2022-12-16,2022-12-16,2,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G10,FDA Drug and Biologic Recalls,Event ID #71837 - Class II - Drugs - 3M Company - Health Care Business,Chemical contamination: Product may be contaminated with a toxic compound.,2015-09-08,2015-09-08,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G10,FDA Drug and Biologic Recalls,Event ID #70261 - Class III - Drugs - 3M Company/3m Espe Dental Products,Labeling: Incorrect or Missing Lot and/or Exp. Date - The subject lot is missing the lot number and expiration date stamp on the primary box..,2015-01-20,2015-01-20,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G10,FDA Drug and Biologic Recalls,"Event ID #86022 - Class I - Drugs - 4e Brands North America, Llc","Chemical Contamination and Subpotent Drug: Product tested to contain methanol as well as below the labeled claim for ethanol content., CGMP Deviations: recalled because it was manufactured in the same facility as the product found to contain methanol which represents poor Current Good Manufacturing Practices.",2020-10-07,2020-10-07,10,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G10,FDA Drug and Biologic Recalls,Event ID #84055 - Class II - Drugs - 8046255 Canada Inc. DBA Viatrexx,Lack of Assurance of Sterility: products manufactured in a manner than cannot guarantee its sterility.,2019-11-14,2019-11-14,23,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G10,FDA Drug and Biologic Recalls,Event ID #80748 - Class II - Drugs - A-S Medication Solutions LLC.,CGMP Deviations: Carcinogen impurity detected in API used to manufacture drug product.,2018-08-18,2018-08-18,4,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G10,FDA Drug and Biologic Recalls,Event ID #87436 - Class I - Drugs - A-S Medication Solutions LLC.,"Labeling: Label Mix-up; The bottle of over-the-counter Acetaminophen 500mg Extra Strength, 100 count, included in Health Essential Kits, labeled incorrectly with a prescription drug label instead of an OTC drug label.",2021-04-30,2021-04-30,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G10,FDA Drug and Biologic Recalls,Event ID #74011 - Class III - Drugs - A-S Medication Solutions LLC.,Labeling: Not elsewhere classified - count on the label was incorrect.,2016-05-05,2016-05-05,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G10,FDA Drug and Biologic Recalls,Event ID #88853 - Class III - Drugs - A-S Medication Solutions LLC.,Labeling: Not Elsewhere classified: Product was relabeled as 90 tablet count product although it was a manufacturer in a box with 30 tablet count tablets.,2021-11-05,2021-11-05,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G10,FDA Drug and Biologic Recalls,"Event ID #59001 - Class II - Drugs - A B Nutrition, Inc.",Marketed Without an Approved NDA/ANDA: The product is an unapproved new drug.,2013-03-08,2013-03-08,3,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
