Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G72,List of FDA Approved Vaccines,Ervebo,"125690 - Ervebo - Ebola Zaire Vaccine, Live",2019-12-19,2019-12-19,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,"Recombivax, Recombivax Hb","101066 - Recombivax, Recombivax Hb - Hepatitis B Vaccine (Recombinant)",1986-07-23,1986-07-23,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,ATTENUVAX,101068 - ATTENUVAX - Measles Virus Vaccine Live,1963-03-21,1963-03-21,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,M-M-R Ii,"101069 - M-M-R Ii - Measles, Mumps and Rubella Virus Vaccine Live",1971-04-22,1971-04-22,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,MumpsVax,101072 - MumpsVax - Mumps Virus Vaccine Live,1967-12-28,1967-12-28,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,MERUVAX II,101075 - MERUVAX II - Rubella Virus Vaccine Live,1969-06-09,1969-06-09,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Pneumovax 23,"101094 - Pneumovax 23 - Pneumococcal Vaccine, Polyvalent",1977-11-21,1977-11-21,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,N/A,103050 - N/A - BCG Vaccine,1989-06-21,1989-06-21,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Vivotif,103123 - Vivotif - Typhoid Vaccine Live Oral Ty21a,1989-12-15,1989-12-15,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Pedvaxhib,103237 - Pedvaxhib - Haemophilus b Conjugate Vaccine (Meningococcal Protein Conjugate),1989-12-20,1989-12-20,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Engerix-B,103239 - Engerix-B - Hepatitis B Vaccine (Recombinant),1989-08-28,1989-08-28,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Rabavert,103334 - Rabavert - Rabies Vaccine,1997-10-20,1997-10-20,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Havrix,103475 - Havrix - Hepatitis A Vaccine,1995-02-22,1995-02-22,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Varivax,103552 - Varivax - Varicella Virus Vaccine Live,1995-03-17,1995-03-17,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,N/A,103569 - N/A - Plague Vaccine,1994-10-05,1994-10-05,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Vaqta,103606 - Vaqta - Hepatitis A Vaccine Inactivated,1996-03-29,1996-03-29,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,COMVAX,103623 - COMVAX - Haemophilus b Conjugate (Meningococcal Protein Conjugate) and Hepatitis B (Recombinant) Vaccine,1996-10-02,1996-10-02,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Infanrix,103647 - Infanrix - Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed,1997-01-29,1997-01-29,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Daptacel,103666 - Daptacel - Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed,2002-05-14,2002-05-14,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Biorab,103820 - Biorab - Rabies Vaccine Adsorbed,1998-11-12,1998-11-12,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Biothrax,103821 - Biothrax - Anthrax Vaccine Adsorbed,1998-11-12,1998-11-12,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Fluvirin,103837 - Fluvirin - Influenza Virus Vaccine,1998-11-03,1998-11-03,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Twinrix,103850 - Twinrix - Hepatitis A & Hepatitis B (Recombinant) Vaccine,2001-05-11,2001-05-11,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,prevnar,103905 - prevnar - Pneumococcal 7-valent Conjugate Vaccine (Diphtheria CRM197 Protein),2000-02-17,2000-02-17,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Pediarix,103907 - Pediarix - DTaP & Hepatitis B (Recombinant) & Inactivated Polio Virus Vaccine,2002-12-13,2002-12-13,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,"Fluzone, Fluzone Hd Quadrivalent, Fluzone High Dose, Fluzone Intradermal, Fluzone Quadrivalent","103914 - Fluzone, Fluzone Hd Quadrivalent, Fluzone High Dose, Fluzone Intradermal, Fluzone Quadrivalent - Influenza Virus Vaccine",1999-12-09,1999-12-09,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Yf-Vax,103915 - Yf-Vax - Yellow Fever Vaccine,1999-12-09,1999-12-09,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Tripedia,103922 - Tripedia - Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed,1999-12-09,1999-12-09,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Menomune-C,"103923 - Menomune-C - Meningococcal Polysaccharide Vaccine, Group C",1999-12-09,1999-12-09,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Menomune-A,"103924 - Menomune-A - Meningococcal Polysaccharide Vaccine, Group A",1999-12-09,1999-12-09,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Menomune-A/C,"103925 - Menomune-A/C - Meningococcal Polysaccharide Vaccine, Groups A and C Combined",1999-12-09,1999-12-09,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Menomune,"103926 - Menomune - Meningococcal Polysaccharide Vaccine, Groups A, C, Y, and W-135 Combined",1999-12-09,1999-12-09,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
G72,List of FDA Approved Vaccines,Ipol,103930 - Ipol - Poliovirus Vaccine Inactivated,2000-02-04,2000-02-04,,"FDA Purplebook. February 2023, 19 Feb. 2023, https://purplebooksearch.fda.gov/downloads.",2023-02-19
