Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G3,Inter-state wars,Franco-Spanish War,"Inter-state war: Spain, France",1823,1823,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,First Russo-Turkish,"Inter-state war: Ottoman Empire, Russia",1828,1829,130000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Mexican-American,"Inter-state war: Mexico, United States of America",1846,1847,19283,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Austro-Sardinian,"Inter-state war: Tuscany, Italy, Austria, Modena",1848,1848,7527,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,First Schleswig-Holstein,"Inter-state war: Prussia, Denmark",1848,1849,6000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Roman Republic,"Inter-state war: France, Two Sicilies, Austria, Papal States",1849,1849,2600,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,La Plata,"Inter-state war: Argentina, Brazil",1851,1852,1300,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Crimean,"Inter-state war: Turkey, Italy, France, United Kingdom, Russia",1853,1856,264200,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Anglo-Persian,"Inter-state war: United Kingdom, Iran",1856,1857,2000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Italian Unification,"Inter-state war: Sardinia/Piedmont, Austria, France",1859,1859,22500,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,First Spanish-Moroccan,"Inter-state war: Morocco, Spain",1859,1860,10000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Italian-Roman,"Inter-state war: Sardinia/Piedmont, Papal States",1860,1860,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Neapolitan,"Inter-state war: Two Sicilies, Sardinia/Piedmont",1860,1861,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Franco-Mexican,"Inter-state war: Mexico, France",1862,1867,20000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Ecuadorian-Colombian,"Inter-state war: Colombia, Ecuador",1863,1863,1000,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
G3,Inter-state wars,Second Schleswig-Holstein,"Inter-state war: Germany, Denmark, Austria",1864,1864,4481,"Sarkees, Meredith Reid and Frank Wayman (2010). Resort to War: 1816 – 2007. Washington DC: CQ Press.",2023-03-23
