Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G83,Internally displaced persons,Internally displaced persons in 1989,Internally displaced persons in 1989,1989-01-01,1989-12-31,16500000,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 1990,Internally displaced persons in 1990,1990-01-01,1990-12-31,21300000,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 1991,Internally displaced persons in 1991,1991-01-01,1991-12-31,22500000,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 1992,Internally displaced persons in 1992,1992-01-01,1992-12-31,25000000,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 1993,Internally displaced persons in 1993,1993-01-01,1993-12-31,27500000,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 1994,Internally displaced persons in 1994,1994-01-01,1994-12-31,28000000,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 1995,Internally displaced persons in 1995,1995-01-01,1995-12-31,22000000,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 1996,Internally displaced persons in 1996,1996-01-01,1996-12-31,19700000,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 1997,Internally displaced persons in 1997,1997-01-01,1997-12-31,17400000,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
G83,Internally displaced persons,Internally displaced persons in 1998,Internally displaced persons in 1998,1998-01-01,1998-12-31,19300000,Internal Displacement Monitoring Centre. Refugee Data Finder - Internally Displaced Persons. https://www.unhcr.org/refugee-statistics/download/?url=1QwB9G.,2023-07-02
