Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G12,FDA Food/Cosmetics Recalls,"Event ID #75501 - Class II - Food/Cosmetics - 1 Epic, LLC",1 Epic is recalling specific lots of various Fruit 66 100% Fruit Juice products because the cans are experiencing swelling that can cause the lids of the can to pop off and potentially cause an injury.,2016-11-08,2016-11-08,4,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G12,FDA Food/Cosmetics Recalls,Event ID #82067 - Class II - Food/Cosmetics - 1908 Brands,Bundle Organics snack bars are recalled due to the presence of mold.,2019-02-13,2019-02-13,6,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G12,FDA Food/Cosmetics Recalls,"Event ID #62777 - Class I - Food/Cosmetics - 2 Moms in the Raw, LLC","Two Moms in the Raw is issuing a voluntary recall for Pesto Sea Cracker, 4 oz, because they were notified by their raw material supplier that the pine nuts used in the product may contain peanuts.",2012-08-23,2012-08-23,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G12,FDA Food/Cosmetics Recalls,"Event ID #62473 - Class II - Food/Cosmetics - 21st Century Foods, Inc.",Product tested positive for the presence of coliforms,2012-07-20,2012-07-20,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G12,FDA Food/Cosmetics Recalls,"Event ID #66743 - Class II - Food/Cosmetics - 21st Century Healthcare, Inc.",This voluntary recall is initiated because raw material used may contain trace amounts of the antibiotic chloramphenicol.,2013-11-12,2013-11-12,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G12,FDA Food/Cosmetics Recalls,Event ID #78410 - Class II - Food/Cosmetics - 21ST CENTURY SNACK FOODS,Product contains undeclared milk.,2017-11-17,2017-11-17,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G12,FDA Food/Cosmetics Recalls,Event ID #66932 - Class I - Food/Cosmetics - 3 Fellers Bakery LLC,Chocolate pie contains almonds which are not declared on the label.,2013-12-18,2013-12-18,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G12,FDA Food/Cosmetics Recalls,Event ID #64703 - Class I - Food/Cosmetics - 37th Street Bakery LLC,Sweet P's Bake Shop branded Caramel Apple Danish Coffee Cake contains undeclared walnuts.,2013-04-02,2013-04-02,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G12,FDA Food/Cosmetics Recalls,Event ID #75129 - Class II - Food/Cosmetics - 37th Street Bakery LLC,Presence of small metal shavings.,2016-10-07,2016-10-07,17,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
G12,FDA Food/Cosmetics Recalls,Event ID #84245 - Class II - Food/Cosmetics - 37th Street Bakery LLC,"Product is missing ingredient and nutrition label on bottom of clamshell retail package.  Missing ingredients include allergens MILK, WHEAT, and SOY",2019-12-16,2019-12-16,1,FDA Dashboards - Recalls. https://datadashboard.fda.gov/ora/cd/recalls.htm. Accessed 20 February 2023.,2022-02-20
