Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G8,List of Magnitude 7+ earthquakes,"170 km SSE of Teluk Dalam, Indonesia","7.1 earthquake, at -0.781°, 98.5339°, 04/24/2023",2023-04-24T20:00:55.086Z,2023-04-24T20:00:55.086Z,7.1,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"Kermadec Islands, New Zealand","7.1 earthquake, at -29.9676°, -177.8264°, 04/24/2023",2023-04-24T00:41:55.460Z,2023-04-24T00:41:55.460Z,7.1,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"96 km N of Tuban, Indonesia","7 earthquake, at -6.0255°, 112.0332°, 04/14/2023",2023-04-14T09:55:45.265Z,2023-04-14T09:55:45.265Z,7,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"39 km ESE of Ambunti, Papua New Guinea","7 earthquake, at -4.3258°, 143.1593°, 04/02/2023",2023-04-02T18:04:11.321Z,2023-04-02T18:04:11.321Z,7,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,Kermadec Islands region,"7 earthquake, at -30.1741°, -176.2047°, 03/16/2023",2023-03-16T00:56:00.149Z,2023-03-16T00:56:00.149Z,7,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"Elbistan earthquake, Kahramanmaras earthquake sequence","7.5 earthquake, at 38.0106°, 37.1962°, 02/06/2023",2023-02-06T10:24:48.811Z,2023-02-06T10:24:48.811Z,7.5,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"Pazarcik earthquake, Kahramanmaras earthquake sequence","7.8 earthquake, at 37.2256°, 37.0143°, 02/06/2023",2023-02-06T01:17:34.342Z,2023-02-06T01:17:34.342Z,7.8,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"156 km NW of Tobelo, Indonesia","7 earthquake, at 2.7306°, 127.0221°, 01/18/2023",2023-01-18T06:06:11.454Z,2023-01-18T06:06:11.454Z,7,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"Pulau Pulau Tanimbar, Indonesia","7.6 earthquake, at -7.0586°, 130.009°, 01/09/2023",2023-01-09T17:47:35.037Z,2023-01-09T17:47:35.037Z,7.6,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"23 km WNW of Port-Olry, Vanuatu","7 earthquake, at -14.9467°, 166.8791°, 01/08/2023",2023-01-08T12:32:42.372Z,2023-01-08T12:32:42.372Z,7,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"18 km SW of Malango, Solomon Islands","7 earthquake, at -9.8198°, 159.6033°, 11/22/2022",2022-11-22T02:03:06.891Z,2022-11-22T02:03:06.891Z,7,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"","7 earthquake, at -20.1112°, -178.3453°, 11/12/2022",2022-11-12T07:09:13.514Z,2022-11-12T07:09:13.514Z,7,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"205 km ESE of Neiafu, Tonga","7.3 earthquake, at -19.2881°, -172.1471°, 11/11/2022",2022-11-11T10:48:46.710Z,2022-11-11T10:48:46.710Z,7.3,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,south of the Fiji Islands,"7 earthquake, at -26.0901°, 178.3427°, 11/09/2022",2022-11-09T09:51:04.068Z,2022-11-09T09:51:04.068Z,7,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"35 km SSW of Aguililla, Mexico","7.6 earthquake, at 18.4552°, -102.9561°, 09/19/2022",2022-09-19T18:05:08.217Z,2022-09-19T18:05:08.217Z,7.6,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"209 km SSE of Isangel, Vanuatu","7 earthquake, at -21.1909°, 170.2666°, 09/14/2022",2022-09-14T11:04:06.558Z,2022-09-14T11:04:06.558Z,7,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
G8,List of Magnitude 7+ earthquakes,"70 km E of Kainantu, Papua New Guinea","7.6 earthquake, at -6.2944°, 146.5038°, 09/10/2022",2022-09-10T23:47:00.233Z,2022-09-10T23:47:00.233Z,7.6,https://earthquake.usgs.gov/earthquakes/search/,2023-04-29
