Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G66,List of famines,Ireland: 1846-1852,Ireland: 1846-1852,1846,1852,1000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1860-1861,India: 1860-1861,1860,1861,2000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Cape Verde: 1863-1867,Cape Verde: 1863-1867,1863,1867,30000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1866-1867,India: 1866-1867,1866,1867,961043,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Finland: 1868-1868,Finland: 1868-1868,1868,1868,100000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1868-1870,India: 1868-1870,1868,1870,1500000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Persia (now Iran): 1870-1871,Persia (now Iran): 1870-1871,1870,1871,1000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Brazil: 1876-1879,Brazil: 1876-1879,1876,1879,750000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1876-1879,India: 1876-1879,1876,1879,7176346,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,China: 1877-1879,China: 1877-1879,1877,1879,11000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,USA (St. Lawreence Island Alaska): 1878-1880,USA (St. Lawreence Island Alaska): 1878-1880,1878,1880,1000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Congo: 1885-1899,Congo: 1885-1899,1885,1899,3000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Sudan: 1888-1892,Sudan: 1888-1892,1888,1892,2000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1888-1889,India: 1888-1889,1888,1889,150000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Ethiopia: 1888-1892,Ethiopia: 1888-1892,1888,1892,1000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Russia: 1891-1892,Russia: 1891-1892,1891,1892,275000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1896-1897,India: 1896-1897,1896,1897,3887287,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Brazil: 1896-1900,Brazil: 1896-1900,1896,1900,1000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,China: 1897-1901,China: 1897-1901,1897,1901,1000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1899-1901,India: 1899-1901,1899,1901,2699790,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,S Africa: 1899-1902,S Africa: 1899-1902,1899,1902,42000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Cape Verde: 1900-1903,Cape Verde: 1900-1903,1900,1903,15500,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Nigeria (Hausaland): 1903-1906,Nigeria (Hausaland): 1903-1906,1903,1906,5000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Namibia: 1904-1907,Namibia: 1904-1907,1904,1907,55017,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Tanzania (south): 1906-1907,Tanzania (south): 1906-1907,1906,1907,118750,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1907-1908,India: 1907-1908,1907,1908,2683782,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
